"English","French"
"I'm {{1::wealthy}}.","Je suis riche."
"I'm wealthy.","Je suis {{1::riche}}."
"I am {{1::rich}}.","Je suis riche."
"I am rich.","Je suis {{1::riche}}."
"Don't {{1::run}}.","Ne cours pas."
"Don't run.","Ne {{1::cours}} pas."
"No {{1::smoking}}.","Ne pas fumer."
"No smoking.","Ne pas {{1::fumer}}."
"I'm {{1::clean}}.","Je suis propre."
"I'm clean.","Je suis {{1::propre}}."
"I talk to {{1::myself}}.","Je me parle."
"I'm {{1::loved}}.","Je suis aimé."
"I'm loved.","Je suis {{1::aimé}}."
"I'm {{1::important}}.","Je suis important."
"I'm important.","Je suis {{1::important}}."
"I am a {{1::japanese}}.","Je suis japonais."
"I am a japanese.","Je suis {{1::japonais}}."
"I am {{1::japanese}}.","Je suis japonais."
"I am japanese.","Je suis {{1::japonais}}."
"I'm {{1::japanese}}.","Je suis japonais."
"I'm japanese.","Je suis {{1::japonais}}."
"I'm {{1::glad}}.","Je suis content."
"I'm glad.","Je suis {{1::content}}."
"I'm sorry.","Je suis {{1::désolée}}."
"I am sorry.","Je suis {{1::désolée}}."
"Sorry!","Je suis {{1::désolée}}."
"I want {{1::everything}}.","Je veux tout."
"I want it {{1::all}}.","Je veux tout."
"I'm {{1::sitting}} down.","Je suis assis."
"I'm sitting down.","Je suis {{1::assis}}."
"I am {{1::john}}.","Je suis john."
"I am john.","Je suis {{1::john}}."
"I'm {{1::crazy}}.","Je suis fou."
"I'm crazy.","Je suis {{1::fou}}."
"I'm {{1::surprised}}.","Je suis surpris."
"I'm surprised.","Je suis {{1::surpris}}."
"I'm {{1::old}}.","Je suis vieille."
"I'm old.","Je suis {{1::vieille}}."
"I'm {{1::free}}.","Je suis libre."
"I'm free.","Je suis {{1::libre}}."
"I'm {{1::free}}!","Je suis libre !"
"I'm free!","Je suis {{1::libre}} !"
"I am {{1::injured}}.","Je suis blessé."
"I am injured.","Je suis {{1::blessé}}."
"I'm {{1::wounded}}.","Je suis blessé."
"I'm wounded.","Je suis {{1::blessé}}."
"I'm {{1::hurt}}.","Je suis blessé."
"I'm hurt.","Je suis {{1::blessé}}."
"I am {{1::hurt}}.","Je suis blessé."
"I'm {{1::busy}}.","Je suis occupée."
"I'm busy.","Je suis {{1::occupée}}."
"I am {{1::stupid}}.","Je suis stupide."
"I am stupid.","Je suis {{1::stupide}}."
"I'm {{1::stupid}}.","Je suis stupide."
"I'm stupid.","Je suis {{1::stupide}}."
"I'm ready!","Je suis {{1::prête}} !"
"What do you know?","Que {{1::sais-tu}} ?"
"I {{1::fell}}.","Je suis tombé."
"I fell.","Je suis {{1::tombé}}."
"I {{1::crashed}}.","Je suis tombé."
"I crashed.","Je suis {{1::tombé}}."
"I {{1::fell}} down.","Je suis tombé."
"I fell down.","Je suis {{1::tombé}}."
"I'm {{1::sad}}.","Je suis triste."
"I'm sad.","Je suis {{1::triste}}."
"I am {{1::sure}}.","Je suis certain."
"I am sure.","Je suis {{1::certain}}."
"I'm {{1::certain}}.","Je suis certain."
"I'm certain.","Je suis {{1::certain}}."
"I'm {{1::sure}}.","Je suis certain."
"I'm sure.","Je suis {{1::certain}}."
"I have gone.","Je suis {{1::allée}}."
"I'm in love.","Je suis {{1::amoureux}}."
"I'm {{1::surprised}}.","Je suis surprise."
"I'm surprised.","Je suis {{1::surprise}}."
"I am {{1::calm}}.","Je suis calme."
"I am calm.","Je suis {{1::calme}}."
"I'm {{1::calm}}.","Je suis calme."
"I'm calm.","Je suis {{1::calme}}."
"I am {{1::smart}}.","Je suis intelligent."
"I am smart.","Je suis {{1::intelligent}}."
"I'm {{1::smart}}.","Je suis intelligent."
"I'm smart.","Je suis {{1::intelligent}}."
"I am {{1::intelligent}}.","Je suis intelligent."
"I am intelligent.","Je suis {{1::intelligent}}."
"I'm {{1::poor}}.","Je suis pauvre."
"I'm poor.","Je suis {{1::pauvre}}."
"What do you know?","Que {{1::savez-vous}} ?"
"I {{1::went}} out.","Je suis sorti."
"I went out.","Je suis {{1::sorti}}."
"I'm {{1::honest}}.","Je suis honnête."
"I'm honest.","Je suis {{1::honnête}}."
"I {{1::stayed}}.","Je suis resté."
"I stayed.","Je suis {{1::resté}}."
"I {{1::mean}} it!","Je suis sérieux !"
"I mean it!","Je suis {{1::sérieux}} !"
"I'm {{1::serious}}.","Je suis sérieux."
"I'm serious.","Je suis {{1::sérieux}}."
"I really {{1::mean}} it.","Je suis sérieux."
"I really mean it.","Je suis {{1::sérieux}}."
