"English","French"
"Are you close to your family?","Êtes-vous {{c::proches}} de votre famille ?"
"I don't know what to do next.","Je ne sais pas ce que je dois faire {{c::ensuite}}."
"His {{c::aim}} is to become a lawyer.","Son objectif est de devenir avocat."
"He is absent because of {{c::illness}}.","Il est absent pour cause de maladie."
"Tom poured more coffee for himself.","Tom s'est {{c::versé}} plus de café."
"This is {{c::strictly}} for the birds.","C’est un attrape-gogo."
"The city {{c::hall}} is very old.","L'hôtel de ville est très vieux."
"I want to recover my valuables.","Je veux récupérer mes {{c::objets}} de valeur."
"He {{c::texts}} me all the time.","Il ne cesse de m’envoyer des sms."
"It's not just a theory.","Ce n'est pas qu'une {{c::théorie}}."
"What's the {{c::source}} of this information?","Quelle est la source de ces informations ?"
"The weather changed suddenly.","Le temps a {{c::soudain}} changé."
"The discussion was {{c::heated}}.","La discussion était animée."
"He is a man of high social status.","C'est un homme de haut {{c::rang}}."
"The lady is over {{c::eighty}} years old.","La dame a plus de quatre-vingts ans."
"He wrapped his arms around her {{c::waist}}.","Il lui a enlacé la taille."
"Sami is {{c::layla's}} only love.","Sami est le seul amour de layla."
"This {{c::cd}} is mine, isn't it?","Ce cd est le mien, n'est-ce pas ?"
"This cd is mine, isn't it?","Ce {{c::cd}} est le mien, n'est-ce pas ?"
"I need to change my {{c::tires}}.","Il faut que je change mes pneus."
"I need to change my tires.","Il faut que je change mes {{c::pneus}}."
"I am taking french next year.","Je prends français {{c::l'année}} prochaine."
"What's the purpose of your trip?","Quel est {{c::l'objet}} de votre voyage ?"
"It was a {{c::disaster}}.","Ce fut un désastre."
"It was a disaster.","Ce fut un {{c::désastre}}."
"Tom is {{c::obsessed}} with sex.","Tom est obsédé par le sexe."
"{{c::thus}} do they all.","Elles le font toutes."
"{{c::thus}} do all women.","Elles le font toutes."
"Most of these are tom's.","Il y en a la {{c::plupart}} à tom."
"I didn't understand what was happening.","Je ne compris pas ce qui se {{c::passait}}."
"Mary was pregnant with {{c::twins}}.","Mary était enceinte de jumeaux."
"Mary was pregnant with twins.","Mary était enceinte de {{c::jumeaux}}."
"Can they see us?","{{c::sont-elles}} en mesure de nous voir ?"
"The meeting was cancelled.","La réunion a été {{c::annulée}}."
"I just bought these shoes.","Je viens {{c::d'acheter}} ces chaussures."
"Tom left {{c::earlier}}.","Tom est parti tout à l'heure."
"He was {{c::fined}} 10000 yen.","Il a reçu une amende de 10000 yens."
"This river is 500 {{c::miles}} long.","Cette rivière est longue de 800 kilomètres."
"Tom fell over and {{c::landed}} flat on his face.","Tom est tombé la tête la première."
"We didn't stay in boston.","Nous ne sommes pas {{c::restés}} à boston."
"Don't eat between {{c::meals}}.","Ne mange pas entre les repas."
"That wasn't one of the {{c::choices}}.","Ce n'était pas un des choix."
