"English","French"
"The rice is {{1::delicious}}.","Le riz est délicieux."
"The rice is delicious.","Le riz est {{1::délicieux}}."
"I'll see you in {{1::class}}.","Je vous verrai en classe."
"The well ran {{1::dry}}.","Le puits s'assécha."
"The ground is {{1::frozen}}.","Le sol est gelé."
"He is {{1::keen}} on soccer.","Il adore le football."
"He loves {{1::soccer}}.","Il adore le football."
"The floor is {{1::slippery}}.","Le sol est glissant."
"He got the job.","Il {{1::eut}} le poste."
"The {{1::parking}} lot is empty.","Le parking est vide."
"The question is {{1::sensitive}}.","La question est délicate."
"You're the {{1::greatest}}.","Vous êtes le meilleur."
"I'm one of your {{1::employees}}.","Je suis une de tes employées."
"Least said, soonest mended.","Le silence est {{1::d'or}}."
"Silence is {{1::golden}}.","Le silence est d'or."
"Silence is golden.","Le silence est {{1::d'or}}."
"I'm taking it {{1::seriously}}.","Je prends cela sérieusement."
"I'm taking it seriously.","Je prends cela {{1::sérieusement}}."
"{{1::roll}} the die!","Lance le dé !"
"He did the {{1::opposite}}.","Il fit le contraire."
"He did the opposite.","Il fit le {{1::contraire}}."
"I am {{1::translating}}.","Je suis en train de traduire."
"I am translating.","Je suis en train de {{1::traduire}}."
"I'm not too surprised.","Je ne suis pas trop {{1::étonné}}."
"I'm thinking about something.","Je pense à {{1::quelque}} chose."
"The chicken is {{1::raw}}.","Le poulet est cru."
"The chicken is raw.","Le {{1::poulet}} est cru."
"He gave the {{1::dictionary}} back.","Il rendit le dictionnaire."
"He gave the dictionary back.","Il {{1::rendit}} le dictionnaire."
"The {{1::jar}} is empty.","Le bocal est vide."
"The countryside is {{1::magnificent}}.","Le paysage est magnifique."
"The countryside is magnificent.","Le {{1::paysage}} est magnifique."
"The landscape is {{1::magnificent}}.","Le paysage est magnifique."
"The landscape is magnificent.","Le {{1::paysage}} est magnifique."
"The {{1::criminal}} is nervous.","Le criminel est nerveux."
"The criminal is nervous.","Le {{1::criminel}} est nerveux."
"He was looking at the sky.","Il {{1::regardait}} le ciel."
"He did it {{1::willingly}}.","Il le fit volontiers."
"Let's {{1::split}} the difference.","Partageons le différend."
"I'm just {{1::killing}} time.","Je tue simplement le temps."
"Which one's the new one?","{{1::laquelle}} est la nouvelle ?"
"Death is {{1::inevitable}}.","La mort est inévitable."
"Death is inevitable.","La mort est {{1::inévitable}}."
"He {{1::raised}} his arm.","Il leva le bras."
"He raised his arm.","Il {{1::leva}} le bras."
"The {{1::sofa}} is comfortable.","Le canapé est confortable."
"The sofa is comfortable.","Le canapé est {{1::confortable}}."
"I want to {{1::climb}} the mountain.","Je veux escalader la montagne."
"He is {{1::watering}} the garden.","Il arrose le jardin."
"The knife is {{1::dull}}.","Le couteau est émoussé."
"He heard the noise.","Il {{1::entendit}} le bruit."
"I doubt if it'll rain.","Je doute qu'il {{1::pleuvra}}."
"Mary is tom's fiancée.","Marie est la {{1::fiancée}} de tom."
"{{1::roll}} the die!","Lancez le dé !"
"Just eat {{1::half}}!","Mange la moitié !"
"Just eat half!","Mange la {{1::moitié}} !"
"I'm fucking.","Je suis en train de {{1::baiser}}."
"I {{1::sharpen}} the knife.","J'aiguise le coutelas."
"He is {{1::distracted}}.","Il est dans la lune."
"He is distracted.","Il est dans la {{1::lune}}."
"Suck my {{1::dick}}.","Pompe-moi le dard."
"Do you want this {{1::or}} don't you?","Veux-tu de ceci ou pas ?"
"The sofa is {{1::uncomfortable}}.","Le canapé est inconfortable."
"I'm working up a {{1::sweat}}.","Je suis en train de transpirer."
"I want to visit {{1::korea}}.","Je veux visiter la corée."
"I'm not dressed yet.","Je ne suis pas encore {{1::habillé}}."
"Family is important.","La famille est {{1::importante}}."
"I'm not good at this.","Je ne suis pas bon {{1::là-dedans}}."
"I {{1::wonder}} who this is from.","Je me demande de qui c'est."
"The feeling's mutual.","Le sentiment est {{1::partagé}}."
"The engine is {{1::noisy}}.","Le moteur est bruyant."
"The engine is noisy.","Le moteur est {{1::bruyant}}."
"I'm tired of this mess.","Je suis fatigué de ce {{1::désordre}}."
"This seat is free.","Le siège est {{1::gratuit}}."
"He may not come.","Il {{1::pourrait}} ne pas venir."
"I know how old you are.","Je connais ton {{1::âge}}."
"The {{1::lemon}} is yellow.","Le citron est jaune."
"The lemon is yellow.","Le {{1::citron}} est jaune."
"I know it by heart.","Je le connais par {{1::cœur}}."
"Mary is tom's {{1::twin}} sister.","Mary est la jumelle de tom."
"The chicken is {{1::cooked}}.","Le poulet est cuit."
"The chicken is cooked.","Le poulet est {{1::cuit}}."
"Tom's dog is brown.","Le chien de tom est {{1::brun}}."
"Courage is {{1::contagious}}.","Le courage est contagieux."
"I can handle this.","Je sais {{1::m'y}} prendre."
"He {{1::studies}} chinese.","Il étudie le chinois."
"He studies chinese.","Il {{1::étudie}} le chinois."
"The {{1::net}} is huge.","Le filet est énorme."
"{{1::sushi}} is delicious.","Le sushi est délicieux."
"The feeling is {{1::mutual}}.","Le sentiment est réciproque."
"The pig is {{1::pink}}.","Le cochon est rose."
"He loves soccer.","Il adore le {{1::foot}}."
"He's {{1::keeping}} his head up.","Il garde le moral."
"He's keeping his head up.","Il garde le {{1::moral}}."
"Tom {{1::needed}} us.","Tom avait besoin de nous."
"Tom needed us.","Tom {{1::avait}} besoin de nous."
"This is the best one.","C’est la {{1::meilleure}}."
"He is keen on science.","Il aime la {{1::science}}."
"I haven't got a {{1::chance}}.","Je n'ai aucune chance."
"The {{1::heat}} is on.","Le chauffage est allumé."
