"English","French"
"I have no son.","Je n'ai pas de {{c::fils}}."
"I have no luck.","Je n'ai pas de {{c::chance}}."
"I'm {{c::unlucky}}.","Je n'ai pas de chance."
"I don't want {{c::any}} more.","Je ne veux plus."
"Get out of there.","{{c::sortez}} de là !"
"I don't have an {{c::answer}}.","Je n'ai pas de réponse."
"I don't have an answer.","Je n'ai pas de {{c::réponse}}."
"I don't have a {{c::bicycle}}.","Je n'ai pas de vélo."
"I don't have a bicycle.","Je n'ai pas de {{c::vélo}}."
"I don't have a {{c::bike}}.","Je n'ai pas de vélo."
"I don't have a bike.","Je n'ai pas de {{c::vélo}}."
"It's {{c::politics}}.","C'est de la politique."
"It's politics.","C'est de la {{c::politique}}."
"That's shit!","C'est de la {{c::merde}} !"
"It's a piece of shit.","C'est de la {{c::merde}}."
"I want it {{c::now}}!","Je le veux maintenant !"
"I want it now!","Je le veux {{c::maintenant}} !"
"Is that {{c::pizza}}?","C'est de la pizza ?"
"Is that pizza?","C'est de la {{c::pizza}} ?"
"I'll take it all.","Je {{c::prendrai}} le tout."
"I don't have a {{c::plan}}.","Je n'ai pas de plan."
"I don't have a plan.","Je n'ai pas de {{c::plan}}."
"I was away.","Je {{c::n'étais}} pas là."
"I have no {{c::words}}.","Je n'ai pas de mots."
"I have no words.","Je n'ai pas de {{c::mots}}."
"I am at a {{c::loss}} for words.","Je n'ai pas de mots."
"I am at a loss for words.","Je n'ai pas de {{c::mots}}."
"Get the fuck out of here.","{{c::dégage}} de là."
"It's a {{c::piece}} of cake.","C'est de la tarte."
"It's a piece of cake.","C'est de la {{c::tarte}}."
"I want the {{c::book}}.","Je veux le livre."
"I want the book.","Je veux le {{c::livre}}."
"{{c::beat}} it.","Casse-toi de là."
"Beat it.","{{c::casse-toi}} de là."
"This is madness.","C'est de la {{c::folie}}."
"This is insanity.","C'est de la {{c::folie}}."
"I don't have a {{c::box}}.","Je n'ai pas de boîte."
"I don't have a box.","Je n'ai pas de {{c::boîte}}."
"Get down from there.","{{c::descendez}} de là !"
"I don't like {{c::school}}.","Je n'aime pas l'école."
"That's {{c::magic}}.","C'est de la magie."
"That's magic.","C'est de la {{c::magie}}."
"It's {{c::magic}}.","C'est de la magie."
"It's magic.","C'est de la {{c::magie}}."
"{{c::thanks}} for coming.","Merci de venir."
"Thanks for coming.","{{c::merci}} de venir."
"I don't have a {{c::newspaper}}.","Je n'ai pas de journal."
"I don't have a newspaper.","Je n'ai pas de {{c::journal}}."
"That's {{c::cheating}}.","C'est de la triche."
"It's {{c::garbage}}.","C'est de la daube."
"{{c::beat}} it.","Tire-toi de là."
"I have no {{c::horse}}.","Je n'ai pas de cheval."
"I have no horse.","Je n'ai pas de {{c::cheval}}."
"Get {{c::us}} out of here.","Sors-nous de là."
"I don't have a {{c::key}}.","Je n'ai pas de clé."
"I don't have a key.","Je n'ai pas de {{c::clé}}."
"I {{c::can't}} do it.","Je n'y arrive pas."
"I can't do it.","Je n'y {{c::arrive}} pas."
"I can't do that.","Je n'y {{c::arrive}} pas."
"I'm by your {{c::side}}.","Je suis avec vous."
"I'm by your side.","Je suis {{c::avec}} vous."
"I am with you.","Je suis {{c::avec}} vous."
"I'm {{c::with}} you.","Je suis avec vous."
"I'm with you.","Je suis {{c::avec}} vous."
"I'm leaving it to you.","Je te le {{c::laisse}}."
"I don't have an {{c::appointment}}.","Je n'ai pas de rendez-vous."
"I don't have an appointment.","Je n'ai pas de {{c::rendez-vous}}."
"I don't have a {{c::knife}}.","Je n'ai pas de couteau."
"I don't have a knife.","Je n'ai pas de {{c::couteau}}."
"I don't have a {{c::guitar}}.","Je n'ai pas de guitare."
"I don't have a guitar.","Je n'ai pas de {{c::guitare}}."
"I don't have a {{c::cell}} phone.","Je n'ai pas de portable."
"I don't have a cell phone.","Je n'ai pas de {{c::portable}}."
"I don't have a {{c::mobile}} phone.","Je n'ai pas de portable."
"I don't have a mobile phone.","Je n'ai pas de {{c::portable}}."
"I haven't got a {{c::mobile}} phone.","Je n'ai pas de portable."
"I haven't got a mobile phone.","Je n'ai pas de {{c::portable}}."
"I haven't got a {{c::mobile}}.","Je n'ai pas de portable."
"I don't have any {{c::brothers}}.","Je n'ai pas de frères."
"I don't have any brothers.","Je n'ai pas de {{c::frères}}."
"I have no {{c::sisters}}.","Je n'ai pas de sœurs."
"I have no sisters.","Je n'ai pas de {{c::sœurs}}."
"I don't have any {{c::sisters}}.","Je n'ai pas de sœurs."
"I don't have any sisters.","Je n'ai pas de {{c::sœurs}}."
"I don't have any {{c::sister}}.","Je n'ai pas de sœurs."
"I don't have any sister.","Je n'ai pas de {{c::sœurs}}."
"I don't have a {{c::pencil}}.","Je n'ai pas de crayon."
"I don't have a pencil.","Je n'ai pas de {{c::crayon}}."
"I don't have a {{c::ticket}}.","Je n'ai pas de billet."
"I don't have a ticket.","Je n'ai pas de {{c::billet}}."
"I have no {{c::patience}}.","Je n'ai pas de patience."
"I have no patience.","Je n'ai pas de {{c::patience}}."
"I don't have a {{c::bicycle}}.","Je n'ai pas de bicyclette."
"I don't have a bicycle.","Je n'ai pas de {{c::bicyclette}}."
"I don't have a {{c::bike}}.","Je n'ai pas de bicyclette."
"I don't have a bike.","Je n'ai pas de {{c::bicyclette}}."
"I don't have a {{c::passport}}.","Je n'ai pas de passeport."
"I don't have a passport.","Je n'ai pas de {{c::passeport}}."
"I don't have a {{c::ticket}}.","Je n'ai pas de ticket."
"I don't have a ticket.","Je n'ai pas de {{c::ticket}}."
