"English","French"
"Don't let go of the {{1::rope}}.","Ne lâche pas la corde."
"Down with the {{1::king}}!","À bas le roi !"
"Down with the king!","À {{1::bas}} le roi !"
"Don't touch the {{1::stove}}.","Ne touche pas la cuisinière."
"Don't touch the stove.","Ne touche pas la {{1::cuisinière}}."
"I don't want to take {{1::advantage}} of anyone.","Je ne veux profiter de personne."
"I don't want to take advantage of anyone.","Je ne veux {{1::profiter}} de personne."
"Don't touch the {{1::glass}}.","Ne touche pas la vitre."
"Don't touch the glass.","Ne touche pas la {{1::vitre}}."
"I think tom {{1::deserves}} that.","Je pense que tom le mérite."
"Don't touch the {{1::pot}}!","Ne touche pas la casserole !"
"I'll {{1::roast}} meat.","Je vais rôtir de la viande."
"Where is the {{1::bus}}?","Où est le bus ?"
"Where is the bus?","Où est le {{1::bus}} ?"
"He is {{1::willing}} enough.","Il a suffisamment de volonté."
"He is willing enough.","Il a suffisamment de {{1::volonté}}."
"Tom has a horse.","Tom a un {{1::cheval}}."
"It's {{1::morning}}.","On est le matin."
"It's morning.","On est le {{1::matin}}."
"{{1::maria}} sees him.","Marie le voit."
"Maria sees him.","Marie le {{1::voit}}."
"Don't touch the {{1::wound}}.","Ne touchez pas la blessure."
"He cried for {{1::joy}}.","Il a pleuré de joie."
"He cried for joy.","Il a pleuré de {{1::joie}}."
"Don't break off the {{1::branch}}.","Ne casse pas la branche."
"Don't touch the {{1::glass}}.","Ne touchez pas la vitre."
"Don't touch the glass.","Ne touchez pas la {{1::vitre}}."
"It's out of the {{1::question}}.","C'est hors de question."
"I was {{1::wondering}} that, as well.","Je me le demandais également."
"I'm going to hurt you.","Je vais te {{1::blesser}}."
"I'm at your {{1::service}}.","Je suis à ton service."
"He has long {{1::legs}}.","Il a de longues jambes."
"He has long legs.","Il a de {{1::longues}} jambes."
"You aren't {{1::answering}} me.","Vous ne me répondez pas."
"You're not {{1::answering}} me.","Vous ne me répondez pas."
"It's stopped snowing.","Il a cessé de {{1::neiger}}."
"I have a right to know.","J'ai le {{1::droit}} de savoir."
"I'm waiting for the train.","{{1::j'attends}} le train."
"I had to see you.","Je {{1::devais}} te voir."
"To each his {{1::own}}.","À chacun le sien."
