"English","French"
"Let's walk to the {{1::bookstore}}.","Allons à pied à la librairie."
"I grabbed him by the {{1::sleeve}}.","Je l'ai attrapé par la manche."
"Try not to be so {{1::tense}}.","Essayez de ne pas être si tendu."
"Try not to be so tense.","Essayez de ne pas être si {{1::tendu}}."
"Time to rise and {{1::shine}}.","Il est temps de s'élever et de resplendir."
"How was the {{1::flight}}?","Comment était le vol ?"
"How was the flight?","Comment était le {{1::vol}} ?"
"It will damage the {{1::crops}}.","Ça endommagera la récolte."
"Give it to {{1::whoever}} wants it.","Donne-le à quiconque le veut !"
"I held his {{1::sleeve}}.","Je l'ai tenu par la manche."
"Give it to {{1::whoever}} wants it.","Donnez-le à quiconque le veut !"
"I added new {{1::examples}}.","J'ai ajouté de nouveaux exemples."
"If {{1::completed}}.","Si fait."
"If completed.","{{1::si}} fait."
"I want to join your team.","Je veux {{1::rejoindre}} votre équipe."
"I don't like who you've become.","Je n'aime pas ce que vous êtes {{1::devenus}}."
"{{1::yeah}}, a little.","Oui, un peu."
"You will wash the {{1::potatoes}}.","Vous laverez les pommes de terre."
"Don't {{1::lean}} on my desk.","Ne vous adossez pas à mon bureau."
"I don't like who you've become.","Je n'aime pas ce que vous êtes {{1::devenues}}."
"Tom {{1::drew}} a picture of a dog.","Tom a dessiné un chien."
"The fridge is very loud.","Le frigo est très {{1::bruyant}}."
"Never shall i forget the sight.","Je n'oublierai jamais cette {{1::vision}}."
"I'll never forget the sight.","Je n'oublierai jamais cette {{1::vision}}."
"We'd like to speak to you.","Nous {{1::aimerions}} vous parler."
"We wish to speak to you.","Nous {{1::aimerions}} vous parler."
"She has good sense.","Elle est {{1::dotée}} de bon sens."
"What is the use of {{1::philosophy}}?","À quoi sert la philosophie ?"
"What is the use of philosophy?","À quoi sert la {{1::philosophie}} ?"
"He skipped a {{1::grade}}.","Il sauta une classe."
"We're not strangers.","Nous ne sommes pas des {{1::étrangers}}."
"He's just {{1::proposed}} to her.","Il vient de la demander en mariage."
"There is a page missing.","Il manque une {{1::page}}."
"The number of cars is on the {{1::increase}}.","Le nombre de voitures est en augmentation."
"The number of cars is on the increase.","Le nombre de voitures est en {{1::augmentation}}."
"I want to {{1::earn}} a lot of money.","Je veux gagner beaucoup d'argent."
"I read {{1::comic}} books.","Je lis des bandes dessinées."
"We aren't enemies.","Nous ne sommes pas des {{1::ennemis}}."
"I told them everything.","Je leur ai tout {{1::raconté}}."
"We are not {{1::americans}}.","Nous ne sommes pas des américains."
"We are not americans.","Nous ne sommes pas des {{1::américains}}."
"She broke herself of the {{1::habit}} of smoking.","Elle s'arrêta de fumer d'elle-même."
"I have 1,500 head of {{1::cattle}}.","J'ai quinze-cents têtes de bétail."
"Park the car in the {{1::shade}}.","Stationnez la voiture à l'ombre."
"We're not {{1::fools}}.","Nous ne sommes pas des imbéciles."
"We aren't {{1::fools}}.","Nous ne sommes pas des imbéciles."
"The movie {{1::theater}} was filled with people.","Le cinéma était plein de monde."
"The school is on the hill.","L'école est sur la {{1::colline}}."
"{{1::yeah}}, i'm going to take tomorrow off.","Oui, je ne vais pas travailler demain."
"I'm counting on your {{1::presence}}.","Je compte sur votre présence."
"I'm counting on your presence.","Je compte sur votre {{1::présence}}."
"I didn't say that this was {{1::heaven}}.","Je n'ai pas dit que c'était le paradis."
"I didn't say that this was heaven.","Je n'ai pas dit que c'était le {{1::paradis}}."
"She is really into {{1::knitting}}.","Elle est vraiment passionnée de tricot."
"Your actions are meaningless.","Tes {{1::actions}} n'ont pas de sens."
"We've {{1::discussed}} a lot of things.","Nous avons discuté de beaucoup de choses."
"We've discussed a lot of things.","Nous avons {{1::discuté}} de beaucoup de choses."
"{{1::fried}} food does not agree with me.","Les fritures ne me réussissent pas."
"Strength in unity.","{{1::l'union}} est une force."
"Who {{1::uses}} tatoeba?","Qui se sert de tatoeba ?"
"The first {{1::wealth}} is health.","La santé est la première richesse."
