"English","French"
"He was eager to return to school in september.","Il était impatient de retourner à l'école en {{1::septembre}}."
"Next week, i'm taking the plane to {{1::chicago}}.","La semaine prochaine, je prends l'avion pour chicago."
"Next week, i'm taking the plane to chicago.","La semaine prochaine, je prends l'avion pour {{1::chicago}}."
"On sundays, {{1::shops}} stay closed.","Le dimanche, les magasins sont fermés."
"The {{1::stores}} are closed on sunday.","Les magasins sont fermés le dimanche."
"The {{1::prince}} is almost a hundred years old.","Le prince a presque cent ans."
"The prince is almost a hundred years old.","Le {{1::prince}} a presque cent ans."
"I have never eaten with {{1::chopsticks}}.","Je n'ai jamais mangé avec des baguettes."
"May fortune smile on you.","Puisse la {{1::fortune}} te sourire !"
"The {{1::banks}} are closed sunday.","Les banques sont fermées le dimanche."
"May i help you ma'am?","Puis-je vous aider, {{1::madame}} ?"
"Tom worked the {{1::clay}} into a vase.","Tom façonna l'argile en un vase."
"We work in a factory.","Nous travaillons dans une {{1::usine}}."
"You have thirty {{1::seconds}}.","Vous avez trente secondes."
"You have thirty seconds.","Vous avez trente {{1::secondes}}."
"You've got thirty {{1::seconds}}.","Vous avez trente secondes."
"You've got thirty seconds.","Vous avez trente {{1::secondes}}."
"Don't touch other {{1::people's}} things!","Ne touche pas aux affaires des autres !"
"A dry spell {{1::accounts}} for the poor crop.","Une période de sécheresse explique la maigre récolte."
"The flower pot crashed to the sidewalk.","Le pot de fleurs s'est écrasé sur le {{1::trottoir}}."
"Don't touch other {{1::people's}} stuff!","Ne touchez pas aux affaires des autres !"
"He made up his mind to be a doctor.","Il {{1::s’est}} décidé à devenir docteur."
"John burst into laughter when he was watching tv.","En {{1::regardant}} la télé, john éclata de rire."
"He worked hard in order to pass the examination.","Il a travaillé dur {{1::afin}} de réussir l'examen."
"Make sure to back up all your {{1::files}}.","Assure-toi de sauvegarder tous tes fichiers."
"I got {{1::stung}} by a bee.","Je me suis fait piquer par une abeille."
"I want to have this letter {{1::registered}}.","Je voudrais envoyer cette lettre en recommandé."
"They arrived at the foot of the mountain.","Elles sont {{1::arrivées}} au pied de la montagne."
"There is a traffic jam on the {{1::highway}}.","Il y a un embouteillage sur l'autoroute."
"He came about two.","Il est venu {{1::vers}} deux heures."
"Make sure to back up all your {{1::files}}.","Assurez-vous de sauvegarder tous vos fichiers."
"This medicine has no side {{1::effects}}.","Ce médicament n'a pas d'effets secondaires."
"This medicine does not have side {{1::effects}}.","Ce médicament n'a pas d'effets secondaires."
"I can't do my job without a computer.","Je ne peux pas {{1::accomplir}} mon travail sans un ordinateur."
"That's my story and i'm sticking to it.","C'est ma {{1::version}} et je m'y tiens."
"How much are these potatoes?","Combien {{1::coûtent}} ces pommes de terre ?"
"The fight lasted three {{1::seconds}}.","Le combat a duré trois secondes."
"He had an operation on his left leg.","Il a eu une {{1::opération}} à la jambe gauche."
"An idea is {{1::expressed}} in terms of action.","Une idée est exprimée en action."
"Do you have laundry to do?","As-tu du {{1::linge}} à laver ?"
"Life was different before.","{{1::autrefois}} la vie était différente."
"Life was different in the past.","{{1::autrefois}} la vie était différente."
"It's a fast growing city.","C'est une ville à {{1::croissance}} rapide."
"This bed looks {{1::solid}}.","Ce lit a l'air solide."
"Sami's {{1::fears}} became real.","Les peurs de sami sont devenues réalité."
"Her smile {{1::expressed}} joy.","Son sourire exprimait la joie."
"We saw tom do it.","Nous avons vu que tom {{1::l'avait}} fait."
"I think he is mr brown.","Il me semble que c'est monsieur {{1::brown}}."
"School begins tomorrow.","La rentrée {{1::scolaire}} a lieu demain."
"The sentence with the next {{1::highest}} number is true.","La phrase avec le numéro suivant est vraie."
"Tom and mary promised john that {{1::they'd}} do that.","Tom et marie ont promis à john de le faire."
"What's the {{1::minimum}} salary in france?","Quel est le salaire minimum en france ?"
"What's the minimum salary in france?","Quel est le salaire {{1::minimum}} en france ?"
