"English","French"
"He stole money.","Il a {{c::volé}} de l'argent."
"I was born on {{c::april}} 3, 1950.","Je suis née le 3 avril 1950."
"I was born on april 3, 1950.","Je suis née le 3 {{c::avril}} 1950."
"I am to your left.","Je suis à votre {{c::gauche}}."
"I was born on {{c::january}} 2 in 1968.","Je suis née le 2 janvier 1968."
"I was born on january 2 in 1968.","Je suis née le 2 {{c::janvier}} 1968."
"Do you have them?","Tu les {{c::as}} ?"
"I don't have many friends.","Je n'ai pas beaucoup {{c::d'amis}}."
"I did that {{c::yesterday}}.","Je l'ai fait hier."
"{{c::crime}} doesn't pay.","Le crime ne paie pas."
"Crime doesn't pay.","Le crime ne {{c::paie}} pas."
"{{c::crime}} does not pay.","Le crime ne paie pas."
"They hate him.","Elles le {{c::détestent}}."
"I can hear you {{c::loud}} and clear.","Je t'entends très bien."
"{{c::knock}} on the door.","Frappe à la porte !"
"Tom isn't rude.","Tom n'est pas {{c::grossier}}."
"What is {{c::destiny}}?","Qu'est-ce que le destin ?"
"What is destiny?","Qu'est-ce que le {{c::destin}} ?"
"I'm going to the {{c::cinema}}.","Je vais au cinéma."
"I'm going to the cinema.","Je vais au {{c::cinéma}}."
"What's latin?","Qu'est-ce que le {{c::latin}} ?"
"I'm at your {{c::service}}.","Je suis à votre service."
"I am at your {{c::service}}.","Je suis à votre service."
"Let me give you an {{c::example}}.","Je vous donne un exemple."
"Let me give you an example.","Je vous donne un {{c::exemple}}."
"Tom isn't friendly.","Tom n'est pas {{c::amical}}."
"Tom isn't {{c::reliable}}.","Tom n'est pas fiable."
"Tom isn't an {{c::adult}}.","Tom n'est pas adulte."
"I know i can do that.","Je sais {{c::pouvoir}} le faire."
"{{c::crime}} does not pay.","Le crime ne paye pas."
"Crime does not pay.","Le crime ne {{c::paye}} pas."
"Tom is unambitious.","Tom n'est pas {{c::ambitieux}}."
"They see him.","Elles le {{c::voient}}."
"I'm offering you a job.","Je vous {{c::offre}} un emploi."
"I know that i've helped you.","Je sais que je t'ai {{c::aidé}}."
"I want to be invited.","Je veux être {{c::invitée}}."
"I'm out of {{c::options}}.","Je n'ai plus le choix."
"I'm going to the {{c::concert}}.","Je vais au concert."
"I'm going to the concert.","Je vais au {{c::concert}}."
"I want to be an {{c::actor}}.","Je veux être acteur."
"I want to be an actor.","Je veux être {{c::acteur}}."
"Tom isn't {{c::trained}}.","Tom n'est pas formé."
"Tom isn't trained.","Tom n'est pas {{c::formé}}."
"Tom is unmoved.","Tom n'est pas {{c::ému}}."
"Tom is overjoyed.","Tom est fou de {{c::joie}}."
"Tom didn't {{c::appear}}.","Tom n'est pas apparu."
"Tom isn't a {{c::racist}}.","Tom n'est pas raciste."
"Tom isn't an {{c::interpreter}}.","Tom n'est pas interprète."
"Tom isn't a {{c::minor}}.","Tom n'est pas mineur."
"Tom is {{c::resourceful}}.","Tom est plein de ressources."
"Tom is resourceful.","Tom est plein de {{c::ressources}}."
"I practice sports.","Je fais du {{c::sport}}."
"I want to be cool.","Je veux être {{c::cool}}."
