"English","French"
"Please forgive me.","Je vous prie de me {{1::pardonner}}."
"I beg you forgive me.","Je vous prie de me {{1::pardonner}}."
"I don't like to be {{1::pushed}}.","Je n'aime pas être bousculé."
"We are watching.","Nous {{1::regardons}}."
"I stand {{1::corrected}}.","Je reconnais mon erreur."
"I should {{1::cancel}} everything.","Je devrais tout annuler."
"I should cancel everything.","Je devrais tout {{1::annuler}}."
"We're staying.","Nous {{1::restons}}."
"We have a {{1::conversation}}.","Nous discutons."
"I'm looking for my {{1::pen}}.","Je cherche mon stylo."
"I'm looking for my pen.","Je cherche mon {{1::stylo}}."
"This is out of control.","C'est hors de {{1::contrôle}}."
"He is not in.","Il n'est pas à {{1::l'intérieur}}."
"I'll be in the {{1::attic}}.","Je serai dans le grenier."
"I'll be in the attic.","Je serai dans le {{1::grenier}}."
"Close the book.","{{1::fermez}} le livre."
"I am {{1::baking}} bread.","Je cuis du pain."
"I'm {{1::baking}} bread.","Je cuis du pain."
"Open the book.","{{1::ouvrez}} le livre."
"I ate some {{1::cake}}.","Je mangeais du gâteau."
"The book {{1::interests}} me.","Le livre m'intéresse."
"I live in the {{1::country}}.","J'habite à la campagne."
"I live in the country.","{{1::j'habite}} à la campagne."
"Let's play catch.","{{1::jouons}} à la balle."
"The house is on {{1::fire}}!","La maison brûle !"
"The house is {{1::burning}}!","La maison brûle !"
"They {{1::adore}} her.","Elles la vénèrent."
"I live nearby.","Je vis dans le {{1::coin}}."
"Tom's wife left him.","La femme de tom le {{1::quitta}}."
"I think he'll come.","Je pense qu'il {{1::viendra}}."
"I {{1::suggested}} that the meeting be put off.","Je proposai de remettre la réunion."
"Let me see it.","{{1::laisse-moi}} la voir."
"He has an idea.","Il a une {{1::idée}}."
"I am looking forward to seeing you again.","Je me {{1::réjouis}} de vous revoir."
"I look forward to seeing you again.","Je me {{1::réjouis}} de vous revoir."
"I love the {{1::sun}}.","J'aime le soleil."
"I love the sun.","J'aime le {{1::soleil}}."
"I'm not from this {{1::world}}.","Je n'appartiens pas à ce monde."
"{{1::they're}} back.","Ils sont de retour."
"He isn't in the {{1::apartment}}.","Il n'est pas à l'appartement."
"He isn't in the apartment.","Il n'est pas à {{1::l'appartement}}."
"Tom isn't wearing {{1::gloves}}.","Tom ne porte pas de gants."
"Tom isn't wearing gloves.","Tom ne porte pas de {{1::gants}}."
"I didn't lose that much.","Je n'ai pas perdu {{1::autant}}."
"Tom is shirtless.","Tom ne porte pas de {{1::chandail}}."
"I got out of the {{1::taxi}}.","Je sortis du taxi."
"I got out of the taxi.","Je {{1::sortis}} du taxi."
"Do we know {{1::each}} other?","Nous connaissons-nous ?"
"I know it's {{1::inevitable}}.","Je sais que c'est inévitable."
"I know it's inevitable.","Je sais que c'est {{1::inévitable}}."
"I know that it's {{1::inevitable}}.","Je sais que c'est inévitable."
"I know that it's inevitable.","Je sais que c'est {{1::inévitable}}."
"{{1::search}} the house.","Fouille la maison !"
"We're {{1::drawing}}.","Nous dessinons."
"We're {{1::growing}}.","Nous grandissons."
"He's not faking it.","Il ne fait pas {{1::semblant}}."
"{{1::search}} the house.","Fouillez la maison !"
"{{1::we've}} been waiting on you.","Nous t'attendions."
"We will {{1::bury}} you.","Nous t'enterrerons."
"We {{1::applauded}}.","Nous applaudîmes."
"We {{1::clapped}} our hands.","Nous applaudîmes."
"I {{1::hid}} my money.","Je cachais mon argent."
"We're {{1::sinking}}.","Nous coulons."
"We {{1::survived}}.","Nous survécûmes."
"We're {{1::inviting}} you.","Nous t'invitons."
"We {{1::coughed}}.","Nous toussions."
"I was looking for my {{1::diary}}.","Je cherchais mon journal."
"I think about {{1::suicide}}.","Je pense à me suicider."
"I think about suicide.","Je pense à me {{1::suicider}}."
"I put on my {{1::trousers}}.","Je mets mon pantalon."
"I put on my trousers.","Je mets mon {{1::pantalon}}."
"I am swimming in the {{1::lake}}.","Je nage dans le lac."
"I'm not afraid to try.","Je n'ai pas peur {{1::d'essayer}}."
"I am to your left.","Je suis à ta {{1::gauche}}."
"He's sitting on the {{1::fence}}.","Il ne se prononce pas."
"I {{1::bought}} the book.","J'achetai le livre."
"That's not like you.","Ça ne vous {{1::ressemble}} pas."
"Here's {{1::mud}} in your eye!","À la tienne, étienne !"
"No other way.","Pas moyen de faire {{1::autrement}}."
"I tried to save her.","J'ai essayé de la {{1::sauver}}."
"I'm not leaving them.","Je ne vais pas les {{1::laisser}}."
"I will lose {{1::weight}}.","Je perdrai du poids."
"Pay at the cash {{1::register}}.","Payez à la caisse."
"I did it on {{1::purpose}}.","Je l'ai fait exprès."
"I did it on purpose.","Je l'ai fait {{1::exprès}}."
"I did that on {{1::purpose}}.","Je l'ai fait exprès."
"I did that on purpose.","Je l'ai fait {{1::exprès}}."
"Where are the police?","Où est la {{1::police}} ?"
"Where is the {{1::railroad}} station?","Où est la gare ?"
"Where is the railroad station?","Où est la {{1::gare}} ?"
"Where is the {{1::railway}} station?","Où est la gare ?"
"Where is the railway station?","Où est la {{1::gare}} ?"
"Where's the {{1::railway}} station?","Où est la gare ?"
"I thought i knew you.","Je pensais te {{1::connaître}}."
"Put it in the {{1::rubbish}}.","Mets-le à la poubelle."
"I tried to cheer her up.","J'ai essayé de la {{1::remonter}}."
"He {{1::sold}} us out.","Il nous a vendus."
"I want to go out.","Je veux aller {{1::dehors}}."
"I don't appreciate your {{1::attitude}}.","Je n'apprécie pas votre attitude."
"I don't appreciate your attitude.","Je n'apprécie pas votre {{1::attitude}}."
