"English","French"
"He {{c::managed}} to escape.","Il a réussi à s'échapper."
"You are from {{c::hokkaido}}, aren't you?","Tu es de hokkaido, n'est-ce pas ?"
"{{c::autumn}} is here.","L'automne est là."
"I want you to be here.","Je veux que tu {{c::sois}} ici."
"I don't want to do anything {{c::risky}}.","Je ne veux rien faire de risqué."
"I don't want to do anything risky.","Je ne veux rien faire de {{c::risqué}}."
"I think that you're wrong.","Je pense que tu te {{c::trompes}}."
"I think you're wrong.","Je pense que tu te {{c::trompes}}."
"I slipped.","J'ai {{c::glissé}}."
"Are you saying that i'm a liar?","Dis-tu que je suis une {{c::menteuse}} ?"
"I often have bad dreams.","Je fais souvent de mauvais {{c::rêves}}."
"He {{c::managed}} to escape.","Il a réussi à s'évader."
"I cut class.","J'ai {{c::séché}}."
"I {{c::swam}}.","J'ai nagé."
"I swam.","J'ai {{c::nagé}}."
"Tom felt cold.","Tom a {{c::ressenti}} le froid."
"I {{c::messed}} up.","J'ai foiré."
"I'll make a {{c::copy}} for you.","Je te ferai une copie."
"I'll make a copy for you.","Je te ferai une {{c::copie}}."
"I work in the {{c::field}} of art.","Je travaille dans le domaine de l'art."
"I work in the field of art.","Je travaille dans le {{c::domaine}} de l'art."
"He will also go.","Il {{c::ira}} aussi."
"That's what tom would do.","C'est ce que tom {{c::ferait}}."
"I {{c::prayed}}.","J'ai prié."
"They didn't do it.","Ils ne {{c::l'ont}} pas fait."
"I'm giving you an {{c::opportunity}}.","Je te donne une occasion."
"I'm giving you an opportunity.","Je te donne une {{c::occasion}}."
"Tom enjoyed the movie.","Tom a {{c::adoré}} le film."
"I am giving you a star.","Je te donne une {{c::étoile}}."
"They're {{c::harmless}}.","Ils ne sont pas dangereux."
"I {{c::panicked}}.","J'ai paniqué."
"That's not important for you to know.","Il n'importe pas que vous le {{c::sachiez}}."
"It is impossible to foresee everything.","Il est impossible de tout {{c::prévoir}}."
"He {{c::differs}} from his brother.","Il est différent de son frère."
"I believe you are {{c::incorrect}}.","Je crois que vous avez tort."
"He is given to lying.","Il a {{c::tendance}} à mentir."
"I've reached the end of my strength.","Je suis à bout de mes {{c::forces}}."
"She's waiting for you at home.","Elle {{c::t'attend}} à la maison."
"They're no good.","Ils ne sont pas {{c::bons}}."
"Tom is not interested in politics.","Tom ne {{c::s'intéresse}} pas à la politique."
"I {{c::counted}}.","J'ai compté."
"The police are following us.","La police nous {{c::suit}}."
"I'm anxious about the future.","Je suis inquiet pour {{c::l'avenir}}."
"I {{c::tripped}}.","J'ai trébuché."
"He is {{c::apt}} to forget.","Il a tendance à oublier."
"He is apt to forget.","Il a {{c::tendance}} à oublier."
"I {{c::fled}}.","J'ai fui."
"I live above my means.","Je vis au-dessus de mes {{c::moyens}}."
"Tom is downhearted.","Tom a le cœur {{c::lourd}}."
"I {{c::messed}} up.","J'ai merdé."
"I know some of these girls.","Je connais {{c::certaines}} de ces filles."
"Like is hardly the word.","{{c::aimer}} n'est pas le mot."
"You stopped.","Vous vous êtes {{c::arrêtée}}."
"Tom {{c::skipped}} lunch.","Tom a sauté le déjeuner."
"I have hardly any english books.","Je n'ai {{c::pratiquement}} pas de livres anglais."
"I've got to learn some new songs.","Je dois apprendre de nouvelles {{c::chansons}}."
"Tom's dog {{c::attacked}} mary.","Le chien de tom attaqua marie."
"He is above {{c::suspicion}}.","Il est au-dessus de tout soupçon."
"My head {{c::hurts}}.","J'ai mal à la tête."
"I have a {{c::sore}} head.","J'ai mal à la tête."
"I appreciate the invitation.","Je suis reconnaissant pour {{c::l'invitation}}."
"It {{c::snowed}} in osaka.","Il a neigé à osaka."
"It snowed in osaka.","Il a {{c::neigé}} à osaka."
"I need to {{c::focus}}.","J'ai besoin de me concentrer."
"I need to focus.","J'ai besoin de me {{c::concentrer}}."
"I {{c::tripped}}.","J'ai plané."
"He was beside himself with joy.","Il ne se {{c::sentait}} pas de joie."
"They won't give {{c::themselves}} up.","Ils ne se rendront pas."
"You stopped.","Vous vous êtes {{c::arrêtés}}."
"He {{c::seems}} happy.","Il semble heureux."
"He doesn't like the heat of the summer.","Il n'aime pas la {{c::chaleur}} de l'été."
"I want a {{c::large}} family.","Je veux une grande famille."
"I'd rather not say anything about politics.","Je préférerais {{c::éviter}} de parler politique."
"I need to {{c::shave}}.","J'ai besoin de me raser."
"We'll need everything.","Nous {{c::aurons}} besoin de tout."
"You {{c::fled}}.","Vous vous êtes enfuis."
"I almost {{c::drowned}}.","Je me suis presque noyé."
"I almost drowned.","Je me suis presque {{c::noyé}}."
"I came near to being drowned.","Je me suis presque {{c::noyé}}."
"I appreciate the invitation.","Je suis reconnaissante pour {{c::l'invitation}}."
"Do you remember your {{c::nightmares}}?","Vous souvenez-vous de vos cauchemars ?"
"He is the magnet of attention.","Il est au centre de {{c::l'attention}}."
"I left you a {{c::note}}.","Je te laissai une note."
"They're not happy.","Ils ne sont pas {{c::satisfaits}}."
"He will also go.","Il {{c::partira}} aussi."
"He will go as well.","Il {{c::partira}} aussi."
"They're not expensive.","Ils ne sont pas {{c::chers}}."
"I'm washing my {{c::brother's}} car.","Je lave la voiture de mon frère."
"I am washing my {{c::brother's}} car.","Je lave la voiture de mon frère."
"They are not {{c::teachers}}.","Ils ne sont pas enseignants."
"They are not teachers.","Ils ne sont pas {{c::enseignants}}."
"Tom is unimaginative.","Tom est sans {{c::imagination}}."
"The bread is not fresh.","Le pain n'est pas {{c::frais}}."
"Tom looked at the floor.","Tom a regardé le {{c::sol}}."
"They aren't algerian.","Ils ne sont pas {{c::algériens}}."
"I wanted you to have this.","Je voulais que vous {{c::ayez}} ceci."
"The sky has a lot of {{c::clouds}}.","Le ciel a beaucoup de nuages."
"The sky has a lot of clouds.","Le ciel a beaucoup de {{c::nuages}}."
"I was wondering what that was.","Je me demandais ce que {{c::c’était}}."
"The air is damp.","L'air est {{c::humide}}."
