"English","French"
"That's just what i thought.","C'est {{1::précisément}} ce que je pensais."
"Nobody {{1::cares}} about you.","Personne ne se soucie de vous."
"I don't like the {{1::atmosphere}} of that school.","Je n'aime pas l'ambiance de cette école."
"Whose glass is that?","À qui est ce {{1::verre}} ?"
"I didn't think anybody was coming.","Je ne pensais pas que quiconque {{1::venait}}."
"Algeria is far from china.","{{1::l'algérie}} est loin de la chine."
"I hope i haven't {{1::woken}} you up.","J'espère que je ne t'ai pas réveillée."
"I hope i haven't woken you up.","J'espère que je ne t'ai pas {{1::réveillée}}."
"The {{1::outcome}} of the election is doubtful.","Le résultat de l'élection est douteux."
"That's {{1::useful}}, isn't it?","C'est utile, n'est-ce pas ?"
"I see a small {{1::ship}}.","Je vois un petit navire."
"I see a small ship.","Je vois un petit {{1::navire}}."
"They do that, don't they?","Ils le {{1::font}}, n'est-ce pas?"
"He comes from the {{1::middle}} class.","Il vient de la classe moyenne."
"He comes from the middle class.","Il vient de la classe {{1::moyenne}}."
"I don't have a favourite {{1::brand}}.","Je n'ai pas une marque favorite."
"You eat too much {{1::candy}}.","Vous mangez trop de sucreries."
"You eat too much candy.","Vous mangez trop de {{1::sucreries}}."
"You guys eat too much candy.","Vous mangez trop de {{1::sucreries}}."
"I've been working.","J'ai {{1::travaillé}}."
"I worked.","J'ai {{1::travaillé}}."
"Tom's speech was {{1::excellent}}.","Le discours de tom était magnifique."
"I'm not in a {{1::position}} to stop it.","Je ne suis pas en mesure de l'arrêter."
"I'm not in a position to stop it.","Je ne suis pas en mesure de {{1::l'arrêter}}."
"Jim is short for {{1::james}}.","Jim est le diminutif de james."
"I will see him at the first {{1::opportunity}}.","Je le rencontrerai à la première occasion."
"No one's {{1::blaming}} you.","Personne ne vous fait de reproche."
"Tom doesn't use {{1::sunscreen}}.","Tom n'utilise pas de crème solaire."
"She keeps on asking me for money.","Elle n'arrête pas de me {{1::taper}}."
"Will it bother you if i smoke?","Cela vous {{1::dérange-t-il}} que je fume ?"
"Would it bother you if i smoke?","Cela vous {{1::dérange-t-il}} que je fume ?"
"It's {{1::incredible}}, isn't it?","C'est incroyable, n'est-ce pas ?"
"It's incredible, isn't it?","C'est {{1::incroyable}}, n'est-ce pas ?"
"The flower is red.","La {{1::fleur}} est de couleur rouge."
"He {{1::joined}} the baseball club.","Il rejoignit le club de baseball."
"The room is covered with dust.","La pièce est {{1::couverte}} de poussière."
"The end of the {{1::summer}} is here.","La fin de l'été est arrivée."
"Man has the gift of {{1::speech}}.","L'homme est doté de la parole."
"Man has the gift of speech.","L'homme est {{1::doté}} de la parole."
"He is a {{1::bloody}} fool.","C'est une espèce de crétin."
"The square is full of {{1::bicycles}}.","La place est pleine de vélos."
"I never {{1::blamed}} you.","Je ne vous ai jamais blâmé."
"In came mary.","Mary est {{1::entrée}}."
"Mary came in.","Mary est {{1::entrée}}."
"He is always reading.","Il lit à {{1::longueur}} de temps."
"I'm looking for an old man.","Je cherche un {{1::vieil}} homme."
"He changed the {{1::topic}} of conversation.","Il a changé de sujet de conversation."
"He changed the topic of conversation.","Il a changé de sujet de {{1::conversation}}."
"The {{1::statue}} has no head.","La statue est dépourvue de tête."
"The statue has no head.","La {{1::statue}} est dépourvue de tête."
"The {{1::cow}} does not eat meat.","La vache ne mange pas de viande."
"Esperanto {{1::pronunciation}} is easy.","La prononciation de l'espéranto est facile."
"Esperanto pronunciation is easy.","La {{1::prononciation}} de l'espéranto est facile."
"Esperanto is easy to {{1::pronounce}}.","La prononciation de l'espéranto est facile."
"Esperanto is easy to pronounce.","La {{1::prononciation}} de l'espéranto est facile."
"I do not believe that god exists.","Je ne crois pas que dieu {{1::existe}}."
"I'm sick of you.","J'en ai {{1::marre}} de vous."
"I am not the person i used to be.","Je ne suis pas la personne que {{1::j'étais}}."
"I thought tom was a musician.","Je pensais que tom était {{1::musicien}}."
"I don't know much about {{1::astronomy}}.","Je ne connais pas grand-chose à l'astronomie."
"You have cute eyes.","Vous avez de {{1::mignons}} yeux."
"Don't play that game.","Ne {{1::jouez}} pas à ce jeu."
"Hunger knows no law.","La faim ne connaît pas de {{1::lois}}."
"A lot of people are waiting for tom.","Beaucoup de gens {{1::attendent}} tom."
"You can enter the library freely.","{{1::l'entrée}} de la bibliothèque est libre."
"I'm used to doing this.","Je suis {{1::habituée}} à faire ça."
"That's him at the window.","C'est lui, à la {{1::fenêtre}}."
"The cause of the accident is {{1::unknown}}.","La cause de l'accident est inconnue."
"She is really into {{1::knitting}}.","C'est une fondue de tricot."
"I've known him for one year.","Je le connais depuis un {{1::an}}."
"Esperanto is easy to {{1::pronounce}}.","La prononciation de l’espéranto est facile."
"I had no {{1::visitors}} today.","Je n'ai pas eu de visiteurs aujourd'hui."
"I had no visitors today.","Je n'ai pas eu de {{1::visiteurs}} aujourd'hui."
"I just cut my {{1::finger}}.","Je viens de me couper le doigt."
"I just cut my finger.","Je viens de me couper le {{1::doigt}}."
"This is just what i wanted.","C'est {{1::précisément}} ce que je voulais."
"We play on sunday.","Nous {{1::jouons}} le dimanche."
"That's awesome, right?","C'est {{1::extraordinaire}}, n'est-ce pas ?"
"Ask him to come straight away.","{{1::demande-lui}} de venir tout de suite."
"We want it back.","Nous voulons le {{1::récupérer}}."
"The street is full of {{1::cars}}.","La rue est pleine de véhicules."
"Don't touch that {{1::button}}!","Ne touche pas à ce bouton !"
"Don't touch that button!","Ne touche pas à ce {{1::bouton}} !"
"So they say.","À ce {{1::qu'on}} dit."
"Don't {{1::lean}} against this wall.","Ne t'adosse pas à ce mur."
"I have a {{1::request}}.","J'ai une demande."
"She has a taste for reading.","Elle a le goût de la {{1::lecture}}."
"I want a refund.","Je veux me faire {{1::rembourser}}."
"I don't need a history {{1::lesson}}.","Je n'ai pas besoin de cours d'histoire."
"I don't need a history lesson.","Je n'ai pas besoin de cours {{1::d'histoire}}."
"I usually drink a lot of milk.","Je bois {{1::généralement}} beaucoup de lait."
"The light in may is wonderful.","La lumière de {{1::mai}} est magnifique."
"I won't {{1::force}} you to do that.","Je ne te forcerai pas à le faire."
"Don't touch that {{1::button}}!","Ne touchez pas à ce bouton !"
"I hope tom is {{1::objective}}.","J'espère que tom est objectif."
"I hope tom is objective.","J'espère que tom est {{1::objectif}}."
"I {{1::studied}}.","J'ai étudié."
"Who {{1::owns}} this truck?","À qui est ce camion ?"
"I feel a draft.","Je sens un courant {{1::d'air}}."
"They're waiting for you.","Ils vous {{1::attendent}}."
