"English","French"
"They're so good, cream and hot bread!","C’est si bon, la {{1::crème}} et le pain tout chaud !"
"The president says we must beef up our military {{1::forces}}.","Le président dit que nous devons renforcer notre puissance militaire."
"Last year, there was a bad harvest.","L'année passée, il y a eu une mauvaise {{1::récolte}}."
"She works for french {{1::intelligence}}.","Elle travaille pour les services secrets français."
"That {{1::species}} of bird is said to be in danger of dying out.","On dit que cette espèce d'oiseau est menacée d'extinction."
"There were algerian {{1::flags}} everywhere.","Il y avait des drapeaux algériens partout."
"What are the {{1::sources}} of happiness?","Quelles sont les sources du bonheur ?"
"Have you ever been {{1::diagnosed}} with high blood pressure?","Vous a-t-on déjà diagnostiqué une hypertension artérielle ?"
"I have to push my bike because one of the {{1::tyres}} is flat.","En raison d'un pneu crevé, je dois pousser mon vélo."
"He gave away all his money to charity.","Il donna tout son argent aux {{1::œuvres}}."
"Tom fainted as soon as he saw the {{1::needle}}.","Tom s'est évanoui dès qu'il a vu l'aiguille."
"Go away before they see you here.","{{1::casse-toi}} avant qu'ils ne te voient ici."
"Mr ou has come to japan to study japanese.","{{1::m}}. ou est venu au japon pour apprendre le japonais."
"They were put in prison.","Ils {{1::furent}} mis en prison."
"I had an operation last summer.","J'ai {{1::subi}} une opération, l'été dernier."
"Our school is one of the best {{1::equipped}}.","Notre école est l'une des mieux équipées."
"We beat three {{1::teams}}.","Nous avons battu trois équipes."
"Do you know what {{1::colours}} she likes?","Connais-tu les couleurs qu'elle aime ?"
"The two {{1::teams}} fought very hard.","Les deux équipes s'affrontèrent âprement."
"The two girls wore the same dress to the dance.","Les deux filles {{1::portaient}} la même robe au bal."
"We will {{1::employ}} a man who can speak english.","Nous engagerons un homme qui sait parler l'anglais."
"I don't like these {{1::remarks}}.","Ces propos me déplaisent."
"Have you ever seen a spider make a {{1::web}}?","Vous avez déjà vu une araignée tissant une toile?"
"Have you ever seen a spider making a {{1::web}}?","Vous avez déjà vu une araignée tissant une toile?"
"Where are your children?","Où sont {{1::vos}} enfants ?"
"Where are your kids?","Où sont {{1::vos}} enfants ?"
"Once the {{1::chemical}} plant caught fire, it exploded.","Quand l'usine chimique a pris feu, elle a explosé."
"I felt a sudden pain in my side.","J'ai ressenti une douleur {{1::soudaine}} au côté."
"Tom was a better cook than mary was when they got married.","Tom était meilleur cuisinier que mary {{1::lorsqu'ils}} se sont mariés."
"The economy is good.","{{1::l'économie}} va bien."
"Physical exercise trains the {{1::muscles}}.","L'exercice physique forme les muscles."
"I tied my shoelaces too tight.","J'ai trop serré mes {{1::lacets}}."
"How is the economy?","Comment se porte {{1::l'économie}} ?"
"I have already done all my tasks.","J'ai déjà fait toutes mes {{1::tâches}}."
"She buys the shirts she wants to wear.","Elle achète les {{1::chemises}} qu'elle veut porter."
"{{1::chop}} {{1::chop}}!","Vite !"
"Workers lost their jobs.","Les {{1::ouvriers}} ont perdu leur emploi."
"Five {{1::plus}} three is eight.","Cinq plus trois fait huit."
"She first met him when they were students.","Elle l'a rencontré pour la première fois {{1::lorsqu'ils}} étaient étudiants."
"Mary has always been successful in everything she has done.","Marie a toujours réussi dans toutes ses {{1::entreprises}}."
"Write down the facts needed to convince other people.","Écrivez les faits {{1::nécessaires}} pour convaincre les autres gens."
"Why did i get a {{1::c}}?","Pourquoi ai-je obtenu un « satisfaisant » ?"
"What books have you read in french?","{{1::quels}} livres as-tu lu en français ?"
"She {{1::suffers}} from a contagious disease.","Elle souffre d'une maladie contagieuse."
"What are my tasks?","Quelles sont mes {{1::tâches}} ?"
"Have you been diagnosed with a heart murmur?","A-t-on {{1::diagnostiqué}} chez toi un souffle cardiaque ?"
"Wild weather is forecast for our {{1::region}} today.","On prévoit un temps violent pour notre région aujourd'hui."
"My {{1::sources}} are secret.","Mes sources sont secrètes."
"{{1::remove}} your hat.","Retirez votre chapeau !"
"{{1::remove}} your hat.","Ôtez votre chapeau !"
"Your {{1::muscles}} are very tense.","Tes muscles sont très tendus."
"My son is studying economics.","Mon fils étudie {{1::l'économie}}."
"You can see how much difference a few degrees can make.","Vous pouvez voir quelle différence quelques {{1::degrés}} font."
"You're supposed to help your friends when they're in trouble.","On est supposé aider ses amis {{1::lorsqu'ils}} ont des ennuis."
"Have you ever been {{1::diagnosed}} with a heart condition?","Est-ce qu'on t'a déjà diagnostiqué un problème cardiaque ?"
"At the traffic lights, go straight over.","Aux {{1::feux}}, allez tout droit."
"Tie your shoelaces.","Fais tes {{1::lacets}}."
"{{1::mr}}. white seems to have many friends.","M. white semble avoir beaucoup d'amis."
"{{1::mr}} white seems to have many friends.","M. white semble avoir beaucoup d'amis."
"Have {{1::at}} it.","Faites-vous plaisir."
"Have {{1::at}} it.","Fais-toi plaisir."
