"English","French"
"I want you to be with me.","Je veux que vous {{c::soyez}} avec moi."
"I don't think we have a choice.","Je ne pense pas que nous {{c::ayons}} le choix."
"They live near the beach.","Ils {{c::vivent}} près de la plage."
"You like {{c::elephants}}.","Vous aimez les éléphants."
"You like elephants.","Vous aimez les {{c::éléphants}}."
"They're low-quality.","Ils sont de mauvaise {{c::qualité}}."
"The {{c::basket}} was full of apples.","Le panier était rempli de pommes."
"You don't need my {{c::approval}}.","Vous n'avez pas besoin de mon approbation."
"I am going to get that {{c::sucker}}.","Je vais me faire ce jobard."
"I leave it up to you.","Je laisse cela à tes {{c::soins}}."
"The river is deep here.","La rivière est {{c::profonde}}, ici."
"Honesty will pay in the long run.","{{c::l'honnêteté}} paye à la longue."
"What's the good news?","Quelle est la bonne {{c::nouvelle}} ?"
"I have loads of things to do.","J'ai un {{c::tas}} de choses à faire."
"If it doesn't exist, {{c::create}} it.","S'il n'existe pas, créez-le."
"He was talking as he walked.","Il parlait en {{c::marchant}}."
"With whom do i have the {{c::honor}} of speaking?","À qui ai-je l'honneur de parler ?"
"I hate the guy next door.","Je déteste le type {{c::d'à}} côté."
"My {{c::flashlight}} isn't working.","Ma lampe de poche ne fonctionne pas."
"My flashlight isn't working.","Ma {{c::lampe}} de poche ne fonctionne pas."
"The train passed through the {{c::tunnel}}.","Le train a traversé le tunnel."
"The train passed through the tunnel.","Le train a traversé le {{c::tunnel}}."
"He took it lightly.","Il l'a pris à la {{c::légère}}."
"{{c::ukraine}} belongs to russia.","L’ukraine appartient à la russie."
"I have a flat {{c::tire}}.","J'ai un pneu à plat."
"I have a flat tire.","J'ai un {{c::pneu}} à plat."
"I've got a flat {{c::tyre}}.","J'ai un pneu à plat."
"I've got a flat tyre.","J'ai un {{c::pneu}} à plat."
"I have a flat {{c::tyre}}.","J'ai un pneu à plat."
"I have a flat tyre.","J'ai un {{c::pneu}} à plat."
"{{c::santa}} is dead.","Le père noël est mort."
"Tom {{c::flew}}.","Tom était en avion."
"I {{c::reached}} the station at six.","Je suis arrivé à la gare à 6 heures."
"You {{c::attracted}} customers.","Vous attiriez les clients."
"You attracted {{c::clients}}.","Vous attiriez les clients."
"You brought in {{c::clients}}.","Vous attiriez les clients."
"You speak esperanto, don't you?","Vous parlez {{c::espéranto}}, n'est-ce pas ?"
"Change the disk, it's boring!","Change de {{c::disque}}, c'est ennuyeux !"
"Change the record, it's boring!","Change de {{c::disque}}, c'est ennuyeux !"
"Don't you think it's weird?","Tu ne {{c::trouves}} pas que c'est bizarre ?"
"I was looking for my diary.","Je cherchais mon journal {{c::intime}}."
"Don't write me such long {{c::letters}}.","Ne m'écris pas de si longues lettres."
"He caught hold of my hand.","Il m'a pris la {{c::main}}."
"He asked for a pay {{c::rise}}.","Il a demandé une augmentation."
"He asked for a {{c::cigarette}}.","Il a demandé une cigarette."
"He asked for a cigarette.","Il a demandé une {{c::cigarette}}."
"Let's {{c::compare}} the translation with the original.","Comparons la traduction à l'original."
"The bus is always crowded.","Le bus est toujours {{c::bondé}}."
"You were making the {{c::beds}}.","Vous faisiez les lits."
"The basket was filled with {{c::strawberries}}.","Le panier était rempli de fraises."
"The basket was filled with strawberries.","Le panier était rempli de {{c::fraises}}."
"It was a fake diamond {{c::necklace}}.","Le collier de diamants était faux."
"He put the phone down in {{c::haste}}.","Il reposa le téléphone à la hâte."
"Please find tom.","{{c::veuillez}} trouver tom."
"This {{c::fellow}} is an artist!","Ce type est un artiste !"
"I fell asleep while reading.","Je me suis endormi en {{c::lisant}}."
"What's the date today?","Quelle est la {{c::date}} aujourd'hui ?"
"They're back from china.","Ils sont {{c::rentrés}} de chine."
"He {{c::sits}} on the sofa.","Il est assis sur le canapé."
"That's something you won't ever find.","Ça, tu ne le {{c::trouveras}} jamais."
"He {{c::resembles}} his father.","Il ressemble à son père."
"He cut down that {{c::cherry}} tree.","Il a coupé ce cerisier."
"I think i can {{c::arrange}} that.","Je pense pouvoir arranger cela."
"I speak esperanto and russian.","Je parle {{c::espéranto}} et russe."
"Tom was the only one sitting.","Tom était le seul à {{c::s'asseoir}}."
"They're the cream of the {{c::crop}}.","Ils forment la crème de la crème."
"They're the cream of the crop.","Ils {{c::forment}} la crème de la crème."
"Fuck my life.","Rien à {{c::foutre}} de ma vie !"
"I didn't think you were needed.","Je ne pensais pas {{c::qu'on}} avait besoin de vous."
"She is not my {{c::aunt}}.","Ce n'est pas ma tante."
"She is not my aunt.","Ce n'est pas ma {{c::tante}}."
"It happened in rome.","C'est {{c::survenu}} à rome."
"He {{c::sits}} on the bench.","Il est assis sur le banc."
"He sits on the bench.","Il est assis sur le {{c::banc}}."
"They eat healthy {{c::foods}}.","Ils mangent de la nourriture saine."
"I don't think i passed the test.","Je ne pense pas avoir réussi le {{c::test}}."
"I never hid anything from you.","Je ne t'ai jamais rien {{c::caché}}."
"Tom doesn't keep his promises.","Tom ne tient pas ses {{c::promesses}}."
"I want to increase my {{c::vocabulary}}.","Je souhaite augmenter mon vocabulaire."
"I have to borrow some money.","Il me faut {{c::emprunter}} de l'argent."
"I failed in {{c::finding}} his house.","Je ne pus trouver sa maison."
"I can't believe we're doing this.","Je n'arrive pas à croire que nous le {{c::fassions}}."
"Your {{c::daughter's}} on drugs.","Votre fille consomme de la drogue."
"Do you {{c::realize}} what you just said?","Réalisez-vous ce que vous venez de dire ?"
"I'm trying to make up for lost time.","J'essaye de {{c::rattraper}} le temps perdu."
"I know what they're capable of.","Je sais de quoi ils sont {{c::capables}}."
"I have a pain in my {{c::chest}}.","J'ai une douleur à la poitrine."
"I haven't seen tom since 1988.","Je n'ai plus vu tom {{c::depuis}} 1988."
"I don't know how much the ticket {{c::costs}}.","Je ne sais pas combien coûte le billet."
"The bridge is closed to traffic.","Le pont est fermé à la {{c::circulation}}."
"It's not my cup of tea.","Ce n'est pas ma {{c::spécialité}}."
"This is not my specialty.","Ce n'est pas ma {{c::spécialité}}."
"He speaks french {{c::fluently}}.","Il parle le français couramment."
"I didn't vote in the last {{c::election}}.","Je n'ai pas voté à la dernière élection."
"No {{c::liberty}} for the enemies of {{c::liberty}}.","Pas de liberté pour les ennemis de la liberté."
"I {{c::reached}} the station at six.","Je suis arrivée à la gare à 6 heures."
"Death is preferable to shame.","La mort est {{c::préférable}} à la honte."
"The table was covered with dust.","La table était {{c::couverte}} de poussière."
"The audience is really {{c::charged}} up.","Le public est vraiment excité."
"Fishing is prohibited here.","La pêche est {{c::interdite}} ici."
