"English","French"
"Tom drove the car.","Tom {{c::conduisait}} la voiture."
"Tom didn't seem {{c::suspicious}}.","Tom ne semblait pas suspect."
"Tom didn't seem suspicious.","Tom ne semblait pas {{c::suspect}}."
"We had no other choice.","Nous {{c::n'avions}} pas le choix."
"A lie has no legs.","Le {{c::mensonge}} n'a pas de pied."
"I'm not asking your {{c::permission}}.","Je ne demande pas votre permission."
"I'm not asking your permission.","Je ne demande pas votre {{c::permission}}."
"I am not interested.","Ça me {{c::branche}} pas."
"I'm going to fix some dinner.","Je vais {{c::préparer}} à dîner."
"I'll {{c::arrive}} on christmas day.","J'arriverai le jour de noël."
"I'm a real man.","Je suis un vrai {{c::mec}}."
"Tom wasn't expecting it.","Tom ne s'y {{c::attendait}} pas."
"They drink some beer.","Elles {{c::boivent}} de la bière."
"I am afraid that it will rain.","Je crains qu'il ne {{c::pleuve}}."
"I'm afraid {{c::it'll}} rain.","Je crains qu'il ne pleuve."
"I'm afraid it'll rain.","Je crains qu'il ne {{c::pleuve}}."
"Let's just leave it at that.","{{c::laissons}} cela de côté !"
"I need more {{c::blankets}}.","J'ai besoin de plus de couvertures."
"I need more {{c::cover}}.","J'ai besoin de plus de couvertures."
"Ok, i get the idea.","{{c::ok}}, je vois l'idée."
"He left the door {{c::unlocked}}.","Il ne verrouilla pas la porte."
"Tom suffers from headaches.","Tom souffre de {{c::maux}} de tête."
"They {{c::wasted}} no time.","Ils ne perdirent pas de temps."
"I can't carry a {{c::tune}}.","Je ne sais pas chanter juste."
"It {{c::snows}} in paris.","Il neige à paris."
"Sport knows no {{c::borders}}.","Le sport n'a pas de frontière."
"Sport knows no borders.","Le sport n'a pas de {{c::frontière}}."
"He is at his {{c::desk}}.","Il est à son bureau."
"Can't he ride a bicycle?","Ne {{c::sait-il}} pas faire de vélo ?"
"I don't think i said that.","Je ne crois pas {{c::l'avoir}} dit."
"I know where he {{c::lives}}.","Je sais où il habite."
"I know where he lives.","Je sais où il {{c::habite}}."
"Are you still playing the guitar?","{{c::jouez-vous}} toujours de la guitare ?"
"What will become of me?","Qu'en {{c::sera-t-il}} de moi ?"
"What'll become of me?","Qu'en {{c::sera-t-il}} de moi ?"
"The patient has no {{c::pulse}}.","Le patient n'a pas de pouls."
"I'm {{c::smarter}} than you.","Je suis plus intelligent que vous."
"I'm {{c::smarter}} than you are.","Je suis plus intelligent que vous."
"What just {{c::happened}}?","Que vient-il de se passer ?"
"What just happened?","Que {{c::vient-il}} de se passer ?"
"Don't be a {{c::moron}}.","Ne sois pas un connard !"
"I hate {{c::rainy}} days.","Je déteste les jours de pluie."
"I'd like to talk to {{c::jean}}.","Je souhaiterais parler à jean."
"I'd like to talk to jean.","Je {{c::souhaiterais}} parler à jean."
"I'd like to speak to john.","Je {{c::souhaiterais}} parler à jean."
"I expected better of you.","{{c::j'attendais}} mieux de toi."
"Spare me the {{c::sympathy}}.","Ayez pitié de moi !"
"Spare me the sympathy.","Ayez {{c::pitié}} de moi !"
"I don't work your {{c::land}}.","Je ne cultive pas votre terre."
"What's the {{c::text}} about?","De quoi traite le texte ?"
"What's the text about?","De quoi {{c::traite}} le texte ?"
"How many {{c::men}} do you have?","Combien de mecs as-tu ?"
"How many men do you have?","Combien de {{c::mecs}} as-tu ?"
"I was afraid to speak.","{{c::j'avais}} peur de parler."
"Did i say it wrong?","{{c::l'ai-je}} dit de travers ?"
"I'd have {{c::thrown}} you out.","Je t'aurais jeté dehors."
"How many {{c::points}} do you have?","Combien de points as-tu?"
"How many points do you have?","Combien de {{c::points}} as-tu?"
"Didn't i tell you to wait?","Je ne t'ai pas dit {{c::d'attendre}} ?"
"He {{c::lives}} next door to us.","Il habite à côté."
"He lives next door to us.","Il {{c::habite}} à côté."
"He lives next door.","Il {{c::habite}} à côté."
"Don't buy me {{c::presents}} anymore.","Ne m'achète plus de cadeaux !"
"Don't buy me any more {{c::presents}}.","Ne m'achète plus de cadeaux."
"Don't buy me {{c::presents}} anymore.","Ne m'achète plus de cadeaux."
"I'm {{c::smarter}} than you.","Je suis plus intelligente que vous."
"I am {{c::older}} than you.","Je suis plus âgé que vous."
"Is this {{c::valuable}}?","Ceci a-t-il de la valeur ?"
"Is this valuable?","Ceci a-t-il de la {{c::valeur}} ?"
"How many {{c::bags}} do you have?","Combien de sacs as-tu ?"
"How many bags do you have?","Combien de {{c::sacs}} as-tu ?"
"How many {{c::sheep}} do you have?","Combien de moutons as-tu ?"
"How many sheep do you have?","Combien de {{c::moutons}} as-tu ?"
"How many {{c::cds}} do you have?","Combien de cd as-tu ?"
"How many cds do you have?","Combien de {{c::cd}} as-tu ?"
"We're not throwing it away.","Nous {{c::n'allons}} pas le jeter."
"I've got a list.","Je dispose {{c::d’une}} liste."
"How many {{c::pencils}} do you have?","Combien as-tu de crayons ?"
"How many pencils do you have?","Combien as-tu de {{c::crayons}} ?"
"He didn't know the girl.","Il ne {{c::connaissait}} pas la fille."
"I am {{c::older}} than you.","Je suis plus âgée que vous."
"I am older than you.","Je suis plus {{c::âgée}} que vous."
"I {{c::subscribe}} to two newspapers.","Je m'abonne à deux journaux."
"Tom felt {{c::nauseous}}.","Tom avait la nausée."
"We're starting from {{c::scratch}}.","On part de zéro."
"We're starting from scratch.","On part de {{c::zéro}}."
"He works in {{c::beijing}}.","Il travaille à beijing."
"This country is ours.","Ce {{c::pays}} est à nous."
"I'll need this.","{{c::j'aurai}} besoin de ceci."
"He's learning to swim.","Il {{c::apprend}} à nager."
"The {{c::statue}} has no head.","La statue n'a pas de tête."
"The statue has no head.","La {{c::statue}} n'a pas de tête."
"The weather is {{c::rainy}}.","Le temps est à la pluie."
"How far?!","À quelle {{c::distance}} ? !"
"How far?","À quelle {{c::distance}} ?"
"I'm not a good {{c::loser}}.","Je suis un mauvais perdant."
"Tom loves {{c::canada}}.","Tom aime le canada."
"Tom loves canada.","Tom aime le {{c::canada}}."
"I will stay here for a short {{c::period}}.","Je ne resterai pas longtemps ici."
"It {{c::starts}} raining.","Il commence à pleuvoir."
