"English","French"
"His name is {{c::michael}}.","Son nom est michael."
"I've been working since i was {{c::thirteen}}.","Je travaille depuis que j'ai treize ans."
"I put my hand on his shoulder.","Je mis la main sur son {{c::épaule}}."
"I put my hand on her shoulder.","Je mis la main sur son {{c::épaule}}."
"This salad tastes of lemon.","Cette salade a un goût de {{c::citron}}."
"We lost by two points.","Nous avons perdu de deux {{c::points}}."
"Quit {{c::behaving}} like a kid.","Cessez de vous conduire comme un enfant !"
"Is that an order?","Est-ce une {{c::commande}} ?"
"You like {{c::olives}}, don't you?","Tu aimes les olives, n'est-ce pas ?"
"She decided to move to {{c::belgium}}.","Elle a décidé de s'installer en belgique."
"We accept {{c::checks}}.","Nous acceptons les chèques."
"I've got {{c::bills}} to pay.","J'ai des factures à payer."
"I'm a very sensitive and {{c::emotional}} person.","Je suis quelqu'un de très sensible et émotif."
"He lives in {{c::morocco}}.","Il vit au maroc."
"I'm very busy these days!","Je suis très occupé ces {{c::temps-ci}} !"
"I'm very busy these days.","Je suis très occupé ces {{c::temps-ci}} !"
"He ripped his shirt open.","Il a {{c::arraché}} sa chemise."
"Her {{c::election}} is in the bag.","Son élection est dans la poche."
"I don't need a car. i am the car.","Je n'ai pas besoin {{c::d'une}} voiture. je suis la voiture."
"He returned to japan.","Il {{c::retourna}} au japon."
"You must not make {{c::noises}} in the classroom.","Vous ne devez pas faire de bruit en classe."
"The city was {{c::founded}} in 573.","La ville a été fondée en 573."
"The city was founded in 573.","La ville a été {{c::fondée}} en 573."
"The {{c::thunder}} frightened the students.","Le tonnerre effraya les étudiants."
"How many {{c::museums}} did you visit?","Tu as visité combien de musées ?"
"Tom has been in the hospital since christmas {{c::eve}}.","Tom est à l'hôpital depuis la veille de noël."
"She talked to the {{c::chairperson}}.","Elle a parlé avec le président."
"The {{c::waves}} swallowed up the boat.","Les vagues engloutirent le bateau."
"I'm indebted to you.","J'ai une {{c::dette}} envers vous."
"{{c::harry}} is only 40.","Harry n'a que 40 ans."
"I have not seen him lately.","Je ne l'ai pas vu ces {{c::derniers}} temps."
"He {{c::declared}} that he was innocent.","Il a déclaré être innocent."
"I believe that his action was in the right.","Je crois que son {{c::action}} était la bonne."
"Tom is probably still alone.","Tom est {{c::sûrement}} encore seul."
"They won't have arrived yet.","Ils ne seront pas encore {{c::arrivés}}."
"I had no idea you {{c::collected}} stamps.","Je n'avais pas idée que vous collectionniez les timbres."
"He is {{c::absorbed}} in the study of latin.","Il est plongé dans les cours de latin."
"What is the {{c::main}} purpose of this plan?","Quel est le but principal de ce plan ?"
"The lawyer is her brother.","{{c::l'avocat}} est son frère."
"He looked at the ship through his {{c::telescope}}.","Il regarda le navire avec le télescope."
"He handed in his {{c::resignation}}.","Il a remis sa démission."
"He handed in his resignation.","Il a remis sa {{c::démission}}."
"What is the {{c::central}} aim of this plan?","Quel est le but central de ce plan ?"
"I have tickets to sell.","J'ai des {{c::tickets}} à vendre."
"He tendered his resignation.","Il a présenté sa {{c::démission}}."
"He was having trouble {{c::believing}} it.","Il avait du mal à le croire."
