"English","French"
"I can drive.","Je peux {{1::conduire}}."
"I work a {{1::lot}}.","Je travaille beaucoup."
"I hear you well.","Je {{1::t'entends}} bien."
"I can wait.","Je peux {{1::attendre}}."
"I'm {{1::having}} a good time.","Je m'amuse bien."
"I can relate.","Je peux {{1::comprendre}}."
"He {{1::plays}}.","Il joue."
"I'll get {{1::off}} here.","Je descends ici."
"I'll get off here.","Je {{1::descends}} ici."
"I get off here.","Je {{1::descends}} ici."
"Take your {{1::shot}}.","À vous de tirer !"
"Take your shot.","À vous de {{1::tirer}} !"
"I {{1::don't}} have that.","Je n'ai pas ça."
"I don't have that.","Je {{1::n'ai}} pas ça."
"I used to {{1::play}} here.","Je jouais ici."
"I used to play here.","Je {{1::jouais}} ici."
"I'll eat here.","Je {{1::mangerai}} ici."
"I can read.","Je sais {{1::lire}}."
"Can i try it?","Je peux {{1::essayer}} ?"
"I can give it a {{1::shot}}.","Je peux essayer."
"He {{1::travels}} around.","Il voyage."
"He travels around.","Il {{1::voyage}}."
"I can walk.","Je peux {{1::marcher}}."
"I'll {{1::sleep}} here.","Je dormirai ici."
"I {{1::travel}} around a lot.","Je voyage beaucoup."
"I travel around a lot.","Je {{1::voyage}} beaucoup."
"I think i can.","Je pense {{1::pouvoir}}."
"I can help you.","Je peux {{1::t'aider}}."
"{{1::may}} i come in?","Je peux entrer ?"
"May i come in?","Je peux {{1::entrer}} ?"
"Can i come in?","Je peux {{1::entrer}} ?"
"{{1::may}} i come in?","Je peux entrer ?"
"May i come in?","Je peux {{1::entrer}} ?"
"Snow is {{1::falling}}.","Il neige."
"Snow is falling.","Il {{1::neige}}."
"It is {{1::snowing}}.","Il neige."
"It is snowing.","Il {{1::neige}}."
"It's {{1::snowing}}.","Il neige."
"It's snowing.","Il {{1::neige}}."
"It's {{1::snowing}}!","Il neige !"
"I think i understand.","Je pense {{1::comprendre}}."
"I'm {{1::able}} to run.","Je peux courir."
"I'm able to run.","Je peux {{1::courir}}."
"I don't like {{1::anything}}.","Je n'aime rien."
"I don't like anything.","Je {{1::n'aime}} rien."
"I'll never forget.","Je {{1::n'oublierai}} jamais."
"Where do i sleep?","Je {{1::dors}} où ?"
"I can come back.","Je peux {{1::retourner}}."
"I can help her.","Je peux {{1::l'aider}}."
"I can help him.","Je peux {{1::l'aider}}."
"He knew her.","Il la {{1::connaissait}}."
"I dream a lot.","Je {{1::rêve}} beaucoup."
"I won't {{1::ever}} give up.","Je n'abandonnerai jamais."
"I'll never {{1::learn}}.","Je n'apprendrai jamais."
"I can {{1::fly}}.","Je peux voler."
"I can fly.","Je peux {{1::voler}}."
"I'm {{1::feeling}} better.","Je vais mieux."
"I'm feeling better.","Je vais {{1::mieux}}."
"I'm {{1::better}}.","Je vais mieux."
"I'm better.","Je vais {{1::mieux}}."
"I am {{1::better}}.","Je vais mieux."
"I can {{1::explain}}.","Je peux expliquer."
"I can explain.","Je peux {{1::expliquer}}."
"He's coming.","Il {{1::arrive}}."
"I like it very {{1::much}}.","Je l'aime beaucoup."
"I like him very {{1::much}}.","Je l'aime beaucoup."
"I can reschedule.","Je peux {{1::remettre}}."
"I can love.","Je peux {{1::aimer}}."
"I can jump.","Je peux {{1::sauter}}."
"I'm able to swim.","Je sais {{1::nager}}."
"I can swim.","Je sais {{1::nager}}."
"I can hear you.","Je peux {{1::t'entendre}}."
"He {{1::cleaned}} it up.","Il la nettoya."
"I can {{1::share}}.","Je peux partager."
"I can share.","Je peux {{1::partager}}."
"He's cooking.","Il {{1::cuisine}}."
"I can call her.","Je peux {{1::l'appeler}}."
"I can call him.","Je peux {{1::l'appeler}}."
"I can {{1::explain}} that.","Je peux l'expliquer."
"I can explain that.","Je peux {{1::l'expliquer}}."
"I can {{1::explain}} this.","Je peux l'expliquer."
"I can explain this.","Je peux {{1::l'expliquer}}."
"I can explain it.","Je peux {{1::l'expliquer}}."
"He {{1::mentioned}} it.","Il la mentionna."
"He {{1::scolded}} her.","Il la gronda."
"He {{1::fooled}} her.","Il la dupa."
"I can {{1::survive}}.","Je peux survivre."
"I can survive.","Je peux {{1::survivre}}."
"I love you a {{1::lot}}.","Je t'aime beaucoup."
"I like you a {{1::lot}}.","Je t'aime beaucoup."
"He {{1::walks}}.","Il marche."
"He walks.","Il {{1::marche}}."
"He is {{1::walking}}.","Il marche."
"He is walking.","Il {{1::marche}}."
"I swim a lot.","Je {{1::nage}} beaucoup."
"I can sing.","Je sais {{1::chanter}}."
"{{1::size}} 9, i think.","Taille 9... je pense."
"Size 9, i think.","{{1::taille}} 9... je pense."
"{{1::yes}}, i know.","Oui, je sais."
"Yes, i know.","{{1::oui}}, je sais."
