"English","French"
"My office is in the {{1::central}} area of the city.","Mon bureau est dans le centre-ville."
"What do you think is going to happen?","Que pensez-vous qu'il {{1::advienne}} ?"
"Our {{1::grandmother}} has many dogs.","Notre grand-mère a de nombreux chiens."
"On {{1::february}} 13 i'll be able to say i'm 35 years old.","Le 13 février, je pourrai dire que j'ai 35 ans."
"On february 13 i'll be able to say i'm 35 years old.","Le 13 {{1::février}}, je pourrai dire que j'ai 35 ans."
"What {{1::methods}} of payment do you accept?","Quels moyens de paiement acceptez-vous?"
"I need to get some shuteye.","Il faut que je fasse un petit {{1::somme}}."
"I've got to get some shut eye.","Il faut que je fasse un petit {{1::somme}}."
"He tried many different {{1::methods}}.","Il a essayé beaucoup de méthodes différentes."
"You've lost the ability to concentrate.","Vous avez perdu la {{1::capacité}} de vous concentrer."
"Help! i was {{1::bitten}} by the dog.","À l'aide ! je suis mordu par le chien."
"I want to give you the chance to do that.","Je veux te {{1::procurer}} l'occasion de faire ça."
"Pour the wine into the {{1::sauce}}.","Versez le vin dans la sauce."
"Tom is {{1::currently}} living in boston.","Tom vit actuellement à boston."
"Buy the full {{1::version}}.","Acheter la version complète."
"I just spent over three {{1::thousand}} dollars.","Je viens de dépenser plus de trois mille dollars."
"I don't like to {{1::mix}} business with pleasure.","Je n'aime pas mélanger le travail avec le plaisir."
"What happened at that {{1::intersection}}?","Que c'est-il passé à ce croisement ?"
"What do i have to do now that i'm {{1::registered}}?","Que dois-je faire, maintenant que je suis enregistré ?"
"I believe that he was angry.","Je crois {{1::qu’il}} était en colère."
"You mustn't swim in the pond.","Il ne faut pas nager dans {{1::l'étang}}."
"He will always be with you.","Il sera toujours {{1::parmi}} vous."
"What's that {{1::stain}}?","Qu'est-ce que c'est que cette tache ?"
"What's that stain?","Qu'est-ce que c'est que cette {{1::tache}} ?"
"It's really {{1::humid}}, isn't it?","C'est vraiment humide, n'est-ce pas ?"
"I don't think the {{1::jury}} believed tom.","Je ne pense pas que le jury ait cru tom."
"Do you want any of this stuff?","Veux-tu un {{1::quelconque}} de ces trucs ?"
"Do you have a {{1::chain}} saw i could borrow?","As-tu une tronçonneuse que je pourrais emprunter ?"
"Do you want any of this stuff?","Voulez-vous un {{1::quelconque}} de ces trucs ?"
"The bridge gave way because of the {{1::flood}}.","Le pont céda en raison de la crue."
"This train runs between new york and boston.","Ce train va de {{1::new-york}} à boston."
"Where is your house?","Où est {{1::ta}} maison ?"
"Where's your house?","Où est {{1::ta}} maison ?"
"I love {{1::comic}} books.","J'adore la bande dessinée."
"The {{1::scientists}} want more data.","Les scientifiques ont besoin de plus de données."
"The scientists want more data.","Les {{1::scientifiques}} ont besoin de plus de données."
"He is almost done filling out the form.","Il a presque fini de {{1::remplir}} le formulaire."
"I {{1::attended}} the meeting yesterday.","J'ai assisté à la réunion d'hier."
"I attended the meeting yesterday.","J'ai {{1::assisté}} à la réunion d'hier."
"I attended {{1::yesterday's}} meeting.","J'ai assisté à la réunion d'hier."
"I attended yesterday's meeting.","J'ai {{1::assisté}} à la réunion d'hier."
"The chinese are a hard-working people.","Les chinois sont de gros {{1::travailleurs}}."
"Are the police going to arrest me?","La police {{1::va-t-elle}} m'arrêter ?"
"My {{1::grandpa}} is sick.","Mon grand-père est malade."
"Use this!","{{1::utilise}} ça !"
"You have grapes.","Vous avez des {{1::raisins}}."
"{{1::lawyers}} are bad christians.","Les juristes sont de mauvais chrétiens."
"Butter is made from cream.","On fait le beurre avec de la {{1::crème}}."
"I'm going shopping tomorrow.","Je vais demain faire des {{1::emplettes}}."
"You have visitors.","Vous avez des {{1::visiteurs}}."
"A {{1::rat}} ran across the road.","Un rat a traversé la route."
"I am not interested in {{1::material}} gain.","Je ne suis pas intéressé par le gain matériel."
"Do you have a {{1::chain}} saw i could borrow?","Avez-vous une tronçonneuse que je pourrais emprunter ?"
"Everything is {{1::connected}} to everything else.","Tout est connecté à tout le reste."
"I'm always {{1::barefoot}} at home.","Je suis toujours pieds nus à la maison."
"I'm always barefoot at home.","Je suis toujours pieds {{1::nus}} à la maison."
"I haven't spoken french since high school.","Je n'ai pas parlé français depuis le {{1::lycée}}."
"I'd like to {{1::determine}} the value of this painting.","J'aimerais déterminer la valeur de ce tableau."
"I {{1::swept}} the yard.","J’ai balayé la cour."
"We {{1::discussed}} quite a few interesting things.","On a parlé de pas mal de choses intéressantes."
"I am not interested in {{1::material}} gain.","Je ne suis pas intéressée par le gain matériel."
"What are the rules of {{1::engagement}}?","Quelles sont les règles de combat ?"
"I'm a child, i need love!","Je suis un enfant, j'ai besoin {{1::d'amour}} !"
"Tom helps anyone who {{1::asks}} for help.","Tom aide quiconque demande de l'aide."
"A man is responsible for his deeds.","Un homme est responsable de ses {{1::actes}}."
"Tom is a {{1::former}} student of mine.","Tom est l'un de mes anciens élèves."
"Tom is a former student of mine.","Tom est l'un de mes {{1::anciens}} élèves."
"Do you know how to {{1::sew}}?","Est-ce que tu sais coudre ?"
"Do you know how to sew?","Est-ce que tu sais {{1::coudre}} ?"
"She was born in {{1::february}}.","Elle est née en février."
"She was born in february.","Elle est née en {{1::février}}."
"The campaign ends on monday.","La campagne {{1::finit}} lundi."
"What's the {{1::material}}?","Quelle est cette matière ?"
"What's the material?","Quelle est cette {{1::matière}} ?"
"I can remember the {{1::warmth}} of her hands.","Je peux me souvenir de la chaleur de ses mains."
"I have an important {{1::role}}.","J'ai un rôle important."
"I'm {{1::dining}} out this evening.","Je vais dîner dehors ce soir."
"There are a lot of {{1::parks}} in london.","Il y a de nombreux parcs à londres."
"My office is {{1::tiny}}.","Mon bureau est minuscule."
"What's this smell?","Quelle est cette {{1::odeur}} ?"
"What is that smell?","Quelle est cette {{1::odeur}} ?"
"I will show you around in return.","Je vous montrerai les {{1::alentours}} au retour."
"They don't have the {{1::directions}} to my house.","Ils n'ont pas la direction de chez moi."
"{{1::kate}} got some money from her father.","Kate a reçu de l'argent de son père."
"Kate got some money from her father.","{{1::kate}} a reçu de l'argent de son père."
"I ran into a deer.","J'ai rencontré un {{1::cerf}}."
"Hunger is the best {{1::sauce}}.","La faim est le meilleur des cuisiniers."
"I need to keep my eyes open.","Je dois garder les yeux {{1::ouverts}}."
"I have a {{1::bone}} to pick with you.","On a un compte à régler."
"I wanted to hug him.","Je voulais le prendre dans mes {{1::bras}}."
"What's that {{1::stain}}?","Quelle est cette tache ?"
"What's that stain?","Quelle est cette {{1::tache}} ?"
"Spring is a pleasant season.","Le printemps est une {{1::saison}} agréable."
"A book has {{1::pages}}.","Un livre a des pages."
"A book has pages.","Un livre a des {{1::pages}}."
"Nobody {{1::volunteered}}.","Personne ne s'est présenté."
"He also needs many {{1::workers}}.","Il a également besoin de nombreux travailleurs."
"He also needs many workers.","Il a également besoin de nombreux {{1::travailleurs}}."
"Put the rope in the box.","Mets la {{1::corde}} dans la boîte."
"I'm unable to read this difficult text.","Je ne parviens pas à lire ce {{1::texte}} difficile."
