"English","French"
"Tom doesn't like {{c::basketball}}.","Tom n'aime pas le basket."
"The price is high.","Le prix est {{c::élevé}}."
"Eat more fruit.","Mange plus de {{c::fruits}}."
"I think tom is old.","Je pense que tom est {{c::âgé}}."
"I understand your {{c::concern}}.","Je comprends votre souci."
"I understand your concern.","Je comprends votre {{c::souci}}."
"Do you like baseball?","Aimes-tu le {{c::base-ball}} ?"
"I appreciate the {{c::compliment}}.","J'apprécie le compliment."
"I'm learning {{c::greek}}.","J'apprends le grec."
"I'm learning greek.","J'apprends le {{c::grec}}."
"I am learning {{c::greek}}.","J'apprends le grec."
"I am learning greek.","J'apprends le {{c::grec}}."
"Read the {{c::letter}}.","Lis la lettre."
"You like baseball?","Aimes-tu le {{c::base-ball}} ?"
"I am {{c::finishing}} my translation.","Je termine ma traduction."
"I am finishing my translation.","Je {{c::termine}} ma traduction."
"Ziri is broke.","Ziri n'a pas de {{c::sous}}."
"I'll get this.","Je vais {{c::prendre}} ceci."
"I'm going to take this.","Je vais {{c::prendre}} ceci."
"Do you like baseball?","Aimez-vous le {{c::base-ball}} ?"
"I love {{c::cinema}}.","J’adore le cinéma."
"What have you done to yourself?","Que vous {{c::êtes-vous}} fait ?"
"I think tom went upstairs.","Je pense que tom est {{c::monté}}."
"The light is {{c::green}}.","Le feu est vert."
"The light is green.","Le feu est {{c::vert}}."
"It's in the {{c::garage}}.","Il est dans le garage."
"It's in the garage.","Il est dans le {{c::garage}}."
"Tom is the man of the house.","Tom est {{c::l'homme}} de la maison."
"Tom is mary's {{c::husband}}.","Tom est le mari de mary."
"Tom is mary's husband.","Tom est le {{c::mari}} de mary."
"Lunch is {{c::included}}.","Le déjeuner est inclus."
"The glass is {{c::dirty}}.","Le verre est sale."
"The glass is dirty.","Le verre est {{c::sale}}."
"The price is {{c::reasonable}}.","Le prix est raisonnable."
"I think tom is {{c::courageous}}.","Je pense que tom est courageux."
"Let's see what the {{c::outcome}} is.","Voyons le résultat."
"Let's see what the outcome is.","{{c::voyons}} le résultat."
"{{c::iron}} is hard.","Le fer est dur."
"Iron is hard.","Le {{c::fer}} est dur."
"The night is hot.","La nuit est {{c::chaude}}."
"Not in a {{c::million}} years.","Pas un seul instant !"
"Not in a million years.","Pas un seul {{c::instant}} !"
"It's in the {{c::fridge}}.","Il est dans le frigo."
"It's in the fridge.","Il est dans le {{c::frigo}}."
"Turn on the ignition.","Mettez le {{c::contact}} !"
"He's in the {{c::closet}}.","Il est dans le placard."
"He's in the closet.","Il est dans le {{c::placard}}."
"The {{c::situation}} is difficult.","La situation est difficile."
"The situation is difficult.","La {{c::situation}} est difficile."
"I caught tom.","J'ai {{c::attrapé}} tom."
"Change is possible.","Le {{c::changement}} est possible."
"I think tom is {{c::generous}}.","Je pense que tom est généreux."
"I think tom is generous.","Je pense que tom est {{c::généreux}}."
"The day is beautiful.","La {{c::journée}} est belle."
"The fire is out.","Le feu est {{c::éteint}}."
"I think tom is {{c::impolite}}.","Je pense que tom est impoli."
"Tom is one of mary's {{c::neighbors}}.","Tom est le voisin de marie."
"The price is right.","Le prix est {{c::exact}}."
"Look at the {{c::meter}}.","Regardez le compteur."
"I want the {{c::absolute}} truth.","Je veux la vérité absolue."
"I am well acquainted with the subject.","Je connais bien le {{c::sujet}}."
"I know the subject well.","Je connais bien le {{c::sujet}}."
"I like {{c::translating}}.","J'aime faire de la traduction."
"I like translating.","J'aime faire de la {{c::traduction}}."
"Stop being a baby.","Arrête de faire le {{c::bébé}}."
"{{c::scram}}.","Fiche le camp."
"Scram.","Fiche le {{c::camp}}."
"Read the {{c::meter}}.","Lis le compteur."
"Go fly a {{c::kite}}.","Fiche le camp."
"Go fly a kite.","Fiche le {{c::camp}}."
"Get out.","Fiche le {{c::camp}}."
"Eat more {{c::vegetables}}.","Mange plus de légumes."
"Eat more vegetables.","Mange plus de {{c::légumes}}."
"Do you like {{c::pepper}}?","Aimez-vous le poivre ?"
"Do you like pepper?","Aimez-vous le {{c::poivre}} ?"
"The king is the best.","Le {{c::roi}} est le meilleur."
"I can't give up.","Je ne peux pas me {{c::rendre}}."
"I {{c::telephoned}} her at once.","Je lui téléphonai immédiatement."
"Do you like {{c::salmon}}?","Aimes-tu le saumon ?"
"The {{c::topic}} is happiness.","Le sujet est le bonheur."
"The topic is happiness.","Le sujet est le {{c::bonheur}}."
"There's the {{c::rub}}.","Voilà le hic."
"Do you like {{c::salmon}}?","Aimez-vous le saumon ?"
"{{c::cross}} the bridge.","Traverse le pont."
"Cross the bridge.","{{c::traverse}} le pont."
"The night is dark.","La nuit est {{c::sombre}}."
"Go fly a {{c::kite}}.","Fous le camp !"
"Drink the {{c::medicine}}.","Buvez le médicament."
"{{c::sweep}} the floor.","Balaie le sol."
"Woe to him!","{{c::malheur}} à lui !"
"I hit tom.","J'ai {{c::frappé}} tom."
"Do you like {{c::grapes}}?","Aimes-tu le raisin?"
"The wind has {{c::dropped}}.","Le vent est tombé."
"The wind has dropped.","Le {{c::vent}} est tombé."
"The town {{c::slept}}.","La ville dormait."
"The motor is running.","Le {{c::moteur}} tourne."
"Tom is mary's fiancé.","Tom est le {{c::fiancé}} de marie."
"Watch the {{c::road}}.","Regarde la route !"
"Grab the bottom.","{{c::attrape}} le bas."
"Tell me the truth.","{{c::dites-moi}} la vérité."
