"English","French"
"Give me the {{1::backpack}}.","Donne-moi le sac à dos."
"I saw him {{1::tear}} up the letter.","Je l'ai vu déchirer la lettre."
"He {{1::struck}} a match.","Il frotta une allumette."
"Do you have a tattoo?","As-tu un {{1::tatouage}} ?"
"The ice is very {{1::thick}}.","La glace est très épaisse."
"He sat on the {{1::bench}}.","Il s'assit sur le banc."
"He sat on the bench.","Il s'assit sur le {{1::banc}}."
"He seated himself on the bench.","Il s'assit sur le {{1::banc}}."
"Don't make light of life.","Ne prends pas la vie à la {{1::légère}}."
"I'm satisfied with my {{1::current}} income.","Je suis satisfaite de mon salaire actuel."
"I'll check in the {{1::basement}}.","Je vais vérifier au sous-sol."
"Do you have a nickname?","As-tu un {{1::surnom}} ?"
"Music is my {{1::passion}}.","La musique est ma passion."
"Music is my passion.","La musique est ma {{1::passion}}."
"I'm ready, and you?","Je suis prêt, et {{1::quant}} à vous ?"
"There's no beer sold here.","On ne {{1::vend}} pas de bière, ici."
"He shrugged.","Il a levé les {{1::épaules}}."
"I'm going to catch the next bus.","Je vais attraper le bus {{1::suivant}}."
"What happened on october 20?","Que {{1::s'est-il}} passé le 20 octobre?"
"We need an {{1::estimate}}.","Il nous faut un devis."
"{{1::europe}} is not a country.","L'europe n'est pas un pays."
"Europe is not a country.","{{1::l'europe}} n'est pas un pays."
"{{1::europe}} isn't a country.","L'europe n'est pas un pays."
"He has {{1::numerous}} friends in the diet.","Il a de nombreux amis à la chambre."
"He does not understand modern technology.","Il ne comprend pas la {{1::technologie}} moderne."
"I didn't know tom was going to do it.","{{1::j'ignorais}} que tom allait le faire."
"The bell {{1::rings}} at eight.","La cloche sonne à 8 heures."
"It began to {{1::dawn}}.","Le jour se fit."
"It is not {{1::necessarily}} so.","Ce n'est pas nécessairement le cas."
"It's not {{1::necessarily}} so.","Ce n'est pas nécessairement le cas."
"It isn't {{1::necessarily}} so.","Ce n'est pas nécessairement le cas."
"A beautiful {{1::sunset}}, isn't it?","Joli coucher de soleil, n'est-ce pas ?"
"I am {{1::faced}} with a mountain of problems.","Je suis confronté à une montagne de problèmes."
"The {{1::string}} is very weak.","La corde est très fragile."
"{{1::africa}} is not a country.","L'afrique n'est pas un pays."
"He {{1::finds}} fault with everything.","Il trouve à redire à tout."
