"English","French"
"Just {{1::pretend}} you don't know me.","Fais semblant de ne pas me connaître."
"He's not on the list.","Il ne {{1::figure}} pas sur la liste."
"The ship is at the {{1::port}}.","Le bateau est au port."
"The ship is at the port.","Le bateau est au {{1::port}}."
"I want my life back.","Je veux {{1::retrouver}} ma vie."
"I can't quite place his {{1::accent}}.","Je n'arrive pas à localiser son accent."
"May i do it right now?","Puis-je le faire {{1::sur-le-champ}} ?"
"Tom tried to {{1::lighten}} the mood.","Tom a essayé de détendre l'atmosphère."
"I have three weeks of vacation.","J'ai trois {{1::semaines}} de vacances."
"Beer is my {{1::fuel}}.","La bière est mon carburant."
"Why don't you {{1::loosen}} up?","Pourquoi ne vous laissez-vous pas aller ?"
"I must look after the {{1::rabbits}}.","Je dois m'occuper des lapins."
"I must look after the rabbits.","Je dois m'occuper des {{1::lapins}}."
"This coat is warm.","Ce {{1::manteau}} est chaud."
"She studied the {{1::bible}}.","Elle a étudié la bible."
"She studied the bible.","Elle a étudié la {{1::bible}}."
"This is a {{1::photograph}} of the airport.","Ceci est une photo de l'aéroport."
"Tom {{1::copies}} everything i do.","Tom copie tout ce que je fais."
"I wasn't there at that time.","Je n'étais pas là-bas à cette {{1::époque}}."
"The cat is under the bed.","Le chat est {{1::sous}} le lit."
"Do you want to do it together?","Voulez-vous le faire {{1::ensemble}} ?"
"I am willing to accept {{1::criticism}}.","Je suis prêt à accepter la critique."
"I can't give up.","Je ne peux pas admettre ma {{1::défaite}}."
"The {{1::arrow}} hit the target.","La flèche atteignit la cible."
"He didn't turn up after all.","Finalement, il ne s'est pas {{1::montré}}."
"{{1::logic}} has no place here.","La logique n'a pas de place ici."
"I don't know the reason why he was absent.","Je ne connais pas la raison de son {{1::absence}}."
"I don't know the reason for her {{1::absence}}.","Je ne connais pas la raison de son absence."
"I don't know the reason for her absence.","Je ne connais pas la raison de son {{1::absence}}."
"She's my {{1::sister's}} friend.","Elle est l'amie de ma sœur."
"I sometimes make mistakes.","Je fais parfois des {{1::erreurs}}."
"Sometimes i make mistakes.","Parfois, je fais des {{1::erreurs}}."
"I kissed her belly.","Je lui ai embrassé le {{1::ventre}}."
"The meeting was {{1::attended}} by many.","Beaucoup assistèrent à la réunion."
"I'm {{1::closing}} the door.","Je suis en train de fermer la porte."
"Sometimes i get carried away.","Je me laisse parfois {{1::emporter}}."
"I need to check the rules.","Il faut que je {{1::vérifie}} les règles."
"Tom is {{1::knitting}} a sweater.","Tom tricote un pull."
"She has {{1::delicate}} skin.","Elle a la peau délicate."
"Brazil needs more doctors.","Le brésil a besoin de plus de {{1::médecins}}."
"I never was skinny.","Je n'ai jamais été {{1::maigre}}."
"She milked the cow.","Elle a {{1::trait}} la vache."
"I don't {{1::claim}} that we're perfect.","Je ne prétends pas que nous sommes parfaits."
"I explained the {{1::process}} to him.","Je lui ai expliqué le processus."
"I explained the {{1::process}} to him.","Je lui ai expliqué le procédé."
"I want to {{1::retire}}.","Je veux prendre ma retraite."
"You work here, don't you?","Vous {{1::travaillez}} ici, n'est-ce pas ?"
"I've never had a {{1::mustache}}.","Je n'ai jamais porté la moustache."
"Let tom speak.","{{1::laissons}} tom parler."
