"English","French"
"Sit down on the {{c::bench}}.","Asseyez-vous sur le banc."
"Tom followed the guidelines.","Tom a suivi les {{c::instructions}}."
"I haven't yet bought the {{c::tickets}}.","Je n'ai pas encore acheté les billets."
"I haven't yet bought the tickets.","Je n'ai pas encore acheté les {{c::billets}}."
"I haven't bought the tickets yet.","Je n'ai pas encore acheté les {{c::billets}}."
"Tom {{c::dealt}} the cards.","Tom a distribué les cartes."
"Could you not do that here?","{{c::pourrais-tu}} ne pas faire ça ici ?"
"He succeeded in solving the problem.","Il est {{c::parvenu}} à résoudre le problème."
"He {{c::bent}} his head low.","Il inclina profondément la tête."
"French {{c::cuisine}} is excellent.","La cuisine française est excellente."
"French cuisine is excellent.","La cuisine française est {{c::excellente}}."
"Tom lit the candles.","Tom a allumé les {{c::bougies}}."
"{{c::meg}} is the double of her mother.","Meg est le sosie de sa mère."
"I need this more {{c::than}} you.","J'en ai plus besoin que de vous."
"You must not stay up late.","Tu ne dois pas {{c::veiller}} tard."
"Don't you read the tabloids?","Vous ne lisez pas la {{c::presse}} à scandale ?"
"I share her {{c::political}} position.","Je partage sa position politique."
"He has much {{c::economic}} knowledge.","Il a beaucoup de connaissance en économie."
"He has much economic knowledge.","Il a beaucoup de connaissance en {{c::économie}}."
"We're as hungry as {{c::wolves}}.","Nous avons une faim de loup."
"It's one of my favourite {{c::films}}.","C'est un de mes films préférés."
"Tom planted the {{c::seeds}}.","Tom a planté les graines."
"I haven't broken any {{c::laws}}.","Je n'ai enfreint aucune loi."
"Sami uses {{c::youtube}}.","Sami se sert de youtube."
"Communication takes many {{c::forms}}.","La communication prend de nombreuses formes."
"The {{c::company's}} share price has fallen.","Le cours de l'action de la société a baissé."
"That comes in {{c::handy}}.","Ça tombe à pic."
"I speak two foreign languages.","Je parle deux langues {{c::étrangères}}."
"Tom signed the {{c::documents}}.","Tom a signé les documents."
"Tom signed the documents.","Tom a signé les {{c::documents}}."
"Tom leaned on the {{c::counter}}.","Tom s'appuya sur le comptoir."
"You don't get enough exercise.","Tu ne fais pas assez {{c::d'exercice}}."
"I'm getting married to her in {{c::june}}.","Je vais l'épouser au mois de juin."
"I'm getting married to her in june.","Je vais l'épouser au mois de {{c::juin}}."
"The temperature fell several {{c::degrees}}.","La température descendit de plusieurs degrés."
"There'll be a lot of expenses.","Il y aura beaucoup de {{c::dépenses}}."
"What do you know about {{c::israel}}?","Que sais-tu à propos d'israël ?"
"I'd better be on my way.","Je ferais mieux {{c::d'y}} aller."
"I'd better go.","Je ferais mieux {{c::d'y}} aller."
"Let's drink a {{c::toast}} to our friends!","Buvons à la santé de nos amis !"
"It's easy to fall into bad {{c::habits}}.","C'est facile de prendre de mauvaises habitudes."
"I {{c::value}} our friendship.","J'accorde de la valeur à notre amitié."
"I want to know the reason for his {{c::absence}}.","Je veux connaître la raison de son absence."
"I want to know the reason for his absence.","Je veux connaître la raison de son {{c::absence}}."
"The {{c::flood}} prevented me from crossing the river.","L'inondation m'empêcha de traverser la rivière."
"I would {{c::sooner}} die than give up.","Je souhaiterais plutôt mourir que d'abandonner."
"The {{c::moonlight}} is weak.","La lumière lunaire est faible."
"This is the letter which i wrote.","C'est la lettre que j'ai {{c::écrite}}."
"{{c::click}} on the link.","Cliquez sur le lien."
"This is one of my favorite {{c::places}}.","C'est un de mes endroits préférés."
"The house {{c::collapsed}}.","La maison s'est effondrée."
"What's all the {{c::excitement}} about?","Qu'est-ce que c'est que ce vacarme ?"
"The first {{c::stage}} is complete.","La première étape est achevée."
"{{c::carol}} has a headache.","Carol a mal à la tête."
"I don't do this every day.","Je ne fais pas ça tous les {{c::jours}}."
"He made fun of our {{c::ignorance}}.","Il se moqua de notre ignorance."
"Got the hang of it?","Tu y {{c::arrives}} ?"
"She didn't return the favor.","Elle n'a pas rendu la {{c::pareille}}."
"Tom knocked on the front door.","Tom frappa à la porte {{c::d'entrée}}."
"Tom bought a hammer handle.","Tom a acheté un manche de {{c::marteau}}."
"He is a master of english {{c::literature}}.","C'est un ponte de la littérature anglaise."
"She has gone through many {{c::difficulties}}.","Elle a traversé de nombreuses difficultés."
"She has gone through many difficulties.","Elle a traversé de nombreuses {{c::difficultés}}."
"That's the part i liked best.","C'est la partie que j'ai {{c::préférée}}."
"Make a wish.","Faites un {{c::souhait}} !"
"Take medicine.","Prends un {{c::médicament}} !"
"I thought you were older than me.","Je pensais que vous étiez mon {{c::aîné}}."
"We have a security breach.","Nous avons une {{c::faille}} de sécurité."
"I thought you were older than me.","Je pensais que vous étiez mon {{c::aînée}}."
"I couldn't help laughing at his {{c::haircut}}.","Je ne pouvais m'empêcher de rire de sa coiffure."
"Are you using that?","Est-ce que vous {{c::utilisez}} cela ?"
"My opinion is {{c::contrary}} to yours.","Mon opinion est le contraire de la tienne."
"Please {{c::delete}} this sentence.","Supprimez cette phrase, je vous prie."
"The revolution divided many {{c::families}}.","La révolution divisait de nombreuses familles."
"Tom is looking through the {{c::telescope}}.","Tom regarde à travers le télescope."
"The stone is perfectly {{c::smooth}}.","La pierre est parfaitement lisse."
"I know they'll agree.","Je sais qu'elles {{c::seront}} d'accord."
"I was astonished by his ignorance.","J'étais étonné de son {{c::ignorance}}."
"I used to really hate her {{c::cigarette}} smell.","Je détestais vraiment son odeur de cigarette."
"What is your {{c::surname}}?","Quel est votre nom de famille ?"
"It would be a {{c::sin}} to waste it.","Ce serait un péché que de le gâcher."
"How many {{c::players}} are there?","Combien de joueurs y a-t-il ?"
"How many players are there?","Combien de {{c::joueurs}} y a-t-il ?"
"I've lived a {{c::thousand}} lives.","J'ai vécu un millier de vies."
"How many {{c::planets}} are there?","Combien y a-t-il de planètes ?"
"The pain started {{c::gradually}}.","La douleur est apparue progressivement."
"It's been a long night.","La nuit a été {{c::longue}}."
"My dog has cancer.","Ma {{c::chienne}} a le cancer."
"The night was long.","La nuit a été {{c::longue}}."
"I'm not usually this busy.","Je ne suis pas si occupé en {{c::général}}."
"I have to send these letters.","Je dois {{c::envoyer}} ces lettres."
"I lost a {{c::bunch}} of keys.","J'ai égaré un trousseau de clés."
"He {{c::forgets}} to turn off the light.","Il oublie d'éteindre la lumière."
"I'm going to {{c::chop}} this tree down.","Je vais couper cet arbre."
"I'm going to chop this tree down.","Je vais {{c::couper}} cet arbre."
"Tom went home at {{c::6:30}}.","Tom rentra à la maison à 18 h 30."
"It is not for {{c::beginners}}.","Ce n'est pas pour les débutants."
"It isn't for {{c::beginners}}.","Ce n'est pas pour les débutants."
"It's not for {{c::beginners}}.","Ce n'est pas pour les débutants."
"Thank you for {{c::adding}} me to the group.","Merci de m'ajouter au groupe."
