"English","French"
"Don't interfere in {{c::others'}} affairs.","Ne vous mêlez pas des affaires des autres."
"Plants don't grow in this {{c::soil}}.","Les plantes ne poussent pas dans ce sol."
"Plants don't grow in this soil.","Les plantes ne {{c::poussent}} pas dans ce sol."
"Owning things isn't a job.","La {{c::possession}} des choses n'est pas un travail."
"Algeria is a large economy.","L'algérie est une grande {{c::économie}}."
"She {{c::divided}} the cake into five pieces.","Elle coupa le gâteau en cinq."
"China is building {{c::islands}}.","La chine construit des îles."
"I buy a {{c::tape}}.","J'achète une cassette."
"I think that went really well.","Je pense que ça s'est très bien {{c::déroulé}}."
"Nowadays jobs are hard to come by.","De {{c::nos}} jours il est difficile de trouver du travail."
"The car isn't worth repairing.","La voiture ne vaut pas la peine d'être {{c::réparée}}."
"Let's build a {{c::hut}}.","Construisons une cabane."
"{{c::accidents}} happen all the time.","Les accidents arrivent tout le temps."
"Accidents happen all the time.","Les {{c::accidents}} arrivent tout le temps."
"We entered the park.","Nous sommes {{c::entrés}} dans le parc."
"She {{c::divided}} the cake into six pieces.","Elle découpa le gâteau en six."
"Where is the {{c::chopped}} meat for the cat?","Où est la viande hachée pour le chat ?"
"Will i have a {{c::scar}}?","Aurai-je une cicatrice ?"
"What are you going to do when you see the {{c::crocodile}}?","Que feras-tu quand tu verras le crocodile ?"
"This {{c::patient's}} life is in danger.","La vie de cette personne malade est en danger."
"Tom {{c::purchased}} an electric car.","Tom a acheté une voiture électrique."
"I'm eating {{c::fruits}} because i'm hungry.","Je mange des fruits parce que j'ai faim."
"I made a {{c::royal}} mess of that exam.","Je me suis planté royal à cet examen."
"Tell them to call me before they leave.","Dis-leur de m'appeler avant qu'ils ne {{c::partent}}."
"I love {{c::sunlight}}.","J'aime la lumière du soleil."
"There are {{c::insects}} everywhere.","Il y a des insectes partout."
"They decided to close the factory.","Ils ont décidé de fermer {{c::l'usine}}."
"They decided to shut down the factory.","Ils ont décidé de fermer {{c::l'usine}}."
"He took on a new {{c::identity}}.","Il prit une nouvelle identité."
"We reached an agreement at the end of the meeting.","Nous sommes {{c::tombés}} d'accord à la fin de la réunion."
"They {{c::invaded}} the country.","Ils ont envahi le pays."
"Climate change is a {{c::global}} problem.","Le changement climatique est un problème mondial."
"He asked her to pay her expenses.","Il lui a demandé de payer ses {{c::dépenses}}."
"A is the first letter of the alphabet.","« a » est la première lettre de {{c::l'alphabet}}."
"The number of {{c::visible}} stars is very great.","Le nombre visible d'étoiles est énorme."
"Now i want to talk a bit about the european {{c::union}}.","Maintenant, je souhaite parler un peu de l'union européenne."
"This story doesn't have a happy {{c::ending}}.","Cette histoire ne se termine pas bien."
"Dan gave linda {{c::numerous}} chances to explain.","Dan donna à linda de nombreuses occasions de s'expliquer."
"Don't cut in with your {{c::remarks}}.","Ne coupez pas la parole avec vos remarques."
"Don't cut in with your remarks.","Ne coupez pas la parole avec vos {{c::remarques}}."
"The {{c::shell}} of the building does not yet have windows.","La carcasse du bâtiment n'a pas encore de fenêtres."
"We're {{c::adults}}.","Nous sommes des adultes."
"We're adults.","Nous sommes des {{c::adultes}}."
"If he comes, give him my {{c::regards}}.","S'il vient, saluez-le de ma part."
"All the doors of the house were closed.","Toutes les portes de la maison étaient {{c::fermées}}."
"They are not coming even if they can.","Ils ne viennent pas, même {{c::s'ils}} le peuvent."
"That didn't even {{c::occur}} to me.","Ça ne m'est même pas venu à l'esprit."
"Your parents would've been proud of you.","Vos parents {{c::auraient}} été fiers de vous."
"The {{c::voices}} in tom's head speak french.","Les voix dans la tête de tom parlent français."
"Please show me the {{c::scar}}.","Montrez-moi la cicatrice, s'il vous plaît."
