"English","French"
"Tom is driven.","Tom est {{c::déterminé}}."
"Tom is a {{c::pianist}}.","Tom est pianiste."
"Tom is a pianist.","Tom est {{c::pianiste}}."
"Tom is fashionable.","Tom est {{c::chic}}."
"Tom is {{c::offended}}.","Tom est offensé."
"Tom is offended.","Tom est {{c::offensé}}."
"Tom is {{c::similar}}.","Tom est similaire."
"Tom is similar.","Tom est {{c::similaire}}."
"Tom is {{c::starved}}.","Tom est affamé."
"Tom is starved.","Tom est {{c::affamé}}."
"Tom is {{c::relieved}}.","Tom est soulagé."
"Tom is relieved.","Tom est {{c::soulagé}}."
"Tom is {{c::rude}}.","Tom est impoli."
"Tom is rude.","Tom est {{c::impoli}}."
"Tom is {{c::forgiven}}.","Tom est pardonné."
"Tom is forgiven.","Tom est {{c::pardonné}}."
"Tom is {{c::loud}}.","Tom est bruyant."
"Tom is loud.","Tom est {{c::bruyant}}."
"Tom's {{c::violent}}.","Tom est violent."
"Tom's violent.","Tom est {{c::violent}}."
"Tom's {{c::adopted}}.","Tom est adopté."
"Tom's adopted.","Tom est {{c::adopté}}."
"Tom's embarrassed.","Tom est {{c::gêné}}."
"Tom is drenched.","Tom est {{c::trempé}}."
"Tom is {{c::extraordinary}}.","Tom est extraordinaire."
"Tom is extraordinary.","Tom est {{c::extraordinaire}}."
"Is tom a {{c::witness}}?","Tom est témoin ?"
"Is tom a witness?","Tom est {{c::témoin}} ?"
"Tom is {{c::faithful}}.","Tom est fidèle."
"Tom is faithful.","Tom est {{c::fidèle}}."
"Tom is hammered.","Tom est {{c::pété}}."
"Tom is {{c::loyal}}.","Tom est fidèle."
"Tom is loyal.","Tom est {{c::fidèle}}."
"Tom's {{c::distracted}}.","Tom est distrait."
"Tom's distracted.","Tom est {{c::distrait}}."
"Tom is {{c::remarkable}}.","Tom est remarquable."
"Tom is remarkable.","Tom est {{c::remarquable}}."
"Tom is {{c::reserved}}.","Tom est réservé."
"Tom is reserved.","Tom est {{c::réservé}}."
"Tom is {{c::modest}}.","Tom est modeste."
"Tom is modest.","Tom est {{c::modeste}}."
"Tom is {{c::indispensable}}.","Tom est indispensable."
"Tom is indispensable.","Tom est {{c::indispensable}}."
"Tom is direct.","Tom est {{c::direct}}."
"Tom is humble.","Tom est {{c::modeste}}."
"Tom is precise.","Tom est {{c::précis}}."
"Tom is dumbfounded.","Tom est {{c::abasourdi}}."
"Tom is a {{c::painter}}.","Tom est peintre."
"Tom is a painter.","Tom est {{c::peintre}}."
"Tom is {{c::pessimistic}}.","Tom est pessimiste."
"Tom's {{c::unconscious}}.","Tom est inconscient."
"Tom's unconscious.","Tom est {{c::inconscient}}."
"Tom is {{c::unfortunate}}.","Tom est malchanceux."
"Tom is unfortunate.","Tom est {{c::malchanceux}}."
"Tom is oblivious.","Tom est {{c::inconscient}}."
"Tom is {{c::unconscious}}.","Tom est inconscient."
"Tom is {{c::aggressive}}.","Tom est agressif."
"Tom is aggressive.","Tom est {{c::agressif}}."
"Tom is a brave person.","Tom est {{c::brave}}."
"Tom is {{c::relaxed}}.","Tom est détendu."
"Tom is relaxed.","Tom est {{c::détendu}}."
"Tom is overwhelmed.","Tom est {{c::dépassé}}."
"Tom is terrible.","Tom est {{c::épouvantable}}."
"Tom is {{c::impressive}}.","Tom est impressionnant."
"Tom is impressive.","Tom est {{c::impressionnant}}."
"Tom's headstrong.","Tom est {{c::têtu}}."
"Tom is {{c::arrogant}}.","Tom est arrogant."
"Tom is arrogant.","Tom est {{c::arrogant}}."
"Tom is sexy.","Tom est {{c::sexy}}."
"Tom is an {{c::engineer}}.","Tom est ingénieur."
"Tom is an engineer.","Tom est {{c::ingénieur}}."
"Tom is {{c::scary}}.","Tom est effrayant."
"Tom is {{c::stunned}}.","Tom est stupéfait."
"Tom is {{c::suspended}}.","Tom est suspendu."
"Tom is suspended.","Tom est {{c::suspendu}}."
"Tom's {{c::strict}}.","Tom est strict."
"Tom has been expelled.","Tom est {{c::suspendu}}."
"Tom is {{c::qualified}}.","Tom est qualifié."
"Tom is {{c::in}}.","Tom est dedans."
"Tom is a {{c::detective}}.","Tom est détective."
"Tom is {{c::positive}}.","Tom est positif."
"Tom is {{c::huge}}.","Tom est immense."
"Tom is {{c::independent}}.","Tom est indépendant."
"Tom is {{c::rested}}.","Tom est reposé."
"Tom is {{c::driven}}.","Tom est motivé."
"Tom is {{c::left-handed}}.","Tom est gaucher."
"Tom's {{c::terrified}}.","Tom est terrifié."
"Tom {{c::writes}} with his left hand.","Tom est gaucher."
"I'd like to talk about tom.","Je {{c::voudrais}} parler de tom."
"Tom is an {{c::interpreter}}.","Tom est interprète."
"Tom is {{c::ruined}}.","Tom est ruiné."
"Please help me.","Je vous prie de {{c::m'aider}}."
"Tom is {{c::diplomatic}}.","Tom est diplomate."
"Tom is {{c::irresponsible}}.","Tom est irresponsable."
"Tom is a {{c::blond}}.","Tom est blond."
"Tom's {{c::troubled}}.","Tom est perturbé."
"Tom is {{c::difficult}}.","Tom est pénible."
"Tom is an {{c::alcoholic}}.","Tom est alcoolique."
"Tom is a {{c::bass}} player.","Tom est bassiste."
"Tom is {{c::stable}}.","Tom est stable."
