"English","French"
"How many {{c::instruments}} do you know how to play?","De combien d'instruments sais-tu jouer ?"
"I'll make a phone call.","Je vais passer un appel {{c::téléphonique}}."
"How many {{c::instruments}} do you know how to play?","De combien d'instruments savez-vous jouer ?"
"I've been to the {{c::mall}}.","J'ai été à la galerie commerciale."
"The news is of great {{c::importance}}.","C'est une nouvelle de grande importance."
"The news is of great importance.","C'est une nouvelle de grande {{c::importance}}."
"I could not eat another bite.","Je ne pouvais plus manger une {{c::bouchée}}."
"I couldn't eat another bite.","Je ne pouvais plus manger une {{c::bouchée}}."
"Words could not describe it.","Les mots ne {{c::pourraient}} le décrire."
"I got you all right where i want you.","Je vous ai {{c::mené}} précisément où je voulais."
"Do you know the phone number of your {{c::relatives}}?","Connaissez-vous le numéro de téléphone de vos proches ?"
"It is already eleven.","Il est déjà {{c::onze}} heures."
"It's already eleven.","Il est déjà {{c::onze}} heures."
"I don't know how to use {{c::chopsticks}}.","Je ne sais pas manger avec des baguettes."
"I don't know where tom's parents live.","Je ne sais pas où {{c::habitent}} les parents de tom."
"Milk is a food for {{c::babies}}.","Le lait, c'est de la nourriture pour bébés."
"Milk is a food for babies.","Le lait, c'est de la nourriture pour {{c::bébés}}."
"Are these {{c::notebooks}} all yours?","Ces cahiers sont-ils à vous?"
"Just the once will not hurt.","Une fois n’est pas {{c::coutume}}."
"He is not coming, {{c::according}} to her.","Il ne va pas venir, d'après elle."
"He is not coming, according to her.","Il ne va pas venir, {{c::d'après}} elle."
"I haven't seen you for {{c::ages}}.","Je ne t'ai pas vu depuis une éternité."
"Tom is at his {{c::uncle's}} place.","Tom est chez son oncle."
"I'm not going to be able to fly on that day.","Je ne vais pas pouvoir voler ce {{c::jour-là}}."
"I'd like to invite you to dinner.","J'aimerais vous {{c::inviter}} à dîner."
"The government is trying to get rid of {{c::pollution}}.","Le gouvernement essaie de se débarrasser de la pollution."
"There are only three options.","Il n'y a que trois {{c::options}}."
"The secret got out.","Le secret fut {{c::révélé}}."
"They don't take care of that dog.","Ils ne {{c::prennent}} pas soin de ce chien."
"School begins on april the tenth.","L'école commence le 10 {{c::avril}}."
"I poured some water in the bucket.","J'ai {{c::versé}} de l'eau dans le seau."
"Tom usually eats alone.","Tom a pour {{c::habitude}} de manger seul."
"Tom doesn't like {{c::poker}} at all.","Tom n'aime pas du tout le poker."
"Tom doesn't like poker at all.","Tom n'aime pas du tout le {{c::poker}}."
"I like all {{c::sorts}} of paintings.","J'aime toutes sortes de peintures."
"She is certain to pass the exam.","Elle est certaine de réussir les {{c::examens}}."
"People have a fear of {{c::wars}}.","Les gens ont peur de la guerre."
"This type of cat has no {{c::tail}}.","Cette sorte de chat ne possède pas de queue."
"They haven't arrived yet.","Ils ne sont pas encore {{c::arrivés}}."
"He is every {{c::inch}} a gentleman.","Il a tout d'un monsieur."
"Which one of these {{c::boxes}} do you want?","Laquelle de ces boîtes veux-tu ?"
"Which one of these boxes do you want?","Laquelle de ces {{c::boîtes}} veux-tu ?"
"He suggested the idea to marie.","Il a {{c::suggéré}} l'idée à marie."
"Sami was {{c::suspended}} from the university.","Sami a été suspendu de l'université."
"A sudden crack of {{c::thunder}} broke his sleep.","Un coup de tonnerre soudain le réveilla."
"I feel {{c::homesick}}.","J'ai le mal du pays."
"I'm {{c::homesick}}.","J'ai le mal du pays."
"Which one of these {{c::boxes}} do you want?","Laquelle de ces boîtes voulez-vous ?"
"Which one of these boxes do you want?","Laquelle de ces {{c::boîtes}} voulez-vous ?"
"He could not walk any further.","Il ne {{c::put}} marcher davantage."
"My wisdom teeth are coming in.","Mes dents de sagesse {{c::poussent}}."
"I think tom did that {{c::intentionally}}.","Je pense que tom a fait cela intentionnellement."
"I'm sorry if i {{c::snapped}} at you.","Je suis désolé de m'en être pris à vous."
"It's the secret for improving {{c::oneself}}.","C'est le secret pour s'améliorer."
"It is the secret for improving {{c::oneself}}.","C'est le secret pour s'améliorer."
"That cloud looks like china.","Ce {{c::nuage}} ressemble à la chine."
"It's a matter of {{c::national}} security.","C'est une question de sécurité nationale."
"This is a matter of {{c::national}} security.","C'est une question de sécurité nationale."
"She was on the {{c::verge}} of crying.","Elle était sur le point de pleurer."
"I have difficulty {{c::believing}} that.","J'ai beaucoup de mal à croire ça."
"A promise doesn't mean a {{c::marriage}}.","Une promesse n'est pas un mariage."
"I prefer a {{c::lighter}} colour.","Je préfère une couleur plus claire."
"I live about a mile from here.","Je vis {{c::environ}} à un mille d'ici."
"This was not supposed to happen.","Ce n'était pas supposé {{c::survenir}}."
"He is good-natured.","Elle a bon {{c::caractère}}."
"{{c::humans}} are full of hate.","L'être humain est plein de haine."
"The dog barked {{c::softly}}.","Le chien aboya doucement."
"Choose the best moment.","{{c::choisissez}} le meilleur moment."
"You are my {{c::sunshine}}.","Tu es mon rayon de soleil."
"Why not use {{c::robots}}?","Pourquoi ne pas employer des robots ?"
"You're my {{c::sunshine}}.","Tu es mon rayon de soleil."
