"English","French"
"That's not {{1::surprising}}.","Ce n'est pas surprenant."
"I wash my {{1::apples}}.","Je lave mes pommes."
"I don't find that {{1::helpful}}.","Je ne trouve pas ça utile."
"I ran as fast as {{1::lightning}}.","Je courus comme l'éclair."
"I'm going to swim every day.","Je vais nager {{1::quotidiennement}}."
"That's not {{1::original}}.","Ce n'est pas original."
"I have no plans whatsoever.","Je n'ai pas le {{1::moindre}} projet."
"I know those {{1::girls}}.","Je connais ces filles."
"I know those girls.","Je connais ces {{1::filles}}."
"I don't have the {{1::slightest}} doubt.","Je n'ai pas le moindre doute."
"I don't have the slightest doubt.","Je n'ai pas le {{1::moindre}} doute."
"It is he.","C'est {{1::lui}}."
"That's him.","C'est {{1::lui}}."
"I'm going to make sure of that.","Je vais m'en {{1::assurer}}."
"It's the house specialty.","C'est la {{1::spécialité}} de la maison."
"He has a {{1::headache}}.","Il souffre de maux de tête."
"He has a headache.","Il souffre de {{1::maux}} de tête."
"I need {{1::air}}.","Il me faut de l'air."
"I need air.","Il me faut de {{1::l'air}}."
"I know these {{1::students}}.","Je connais ces étudiants."
"I know these students.","Je connais ces {{1::étudiants}}."
"This doesn't concern you.","Ceci ne vous {{1::concerne}} pas."
"I don't have the {{1::results}}.","Je ne dispose pas des résultats."
"I don't have the results.","Je ne dispose pas des {{1::résultats}}."
"We miss you.","Tu nous {{1::manques}}."
"Do you have a {{1::crush}} on him?","Êtes-vous épris de lui ?"
"Do you have a {{1::crush}} on him?","Êtes-vous éprise de lui ?"
"Do you have a {{1::crush}} on him?","Êtes-vous éprises de lui ?"
"I hate these shoes.","Je déteste ces {{1::chaussures}}."
"{{1::forward}}!","En route !"
"I {{1::brush}} my teeth.","Je brosse mes dents."
"I brush my teeth.","Je {{1::brosse}} mes dents."
"I am {{1::brushing}} my teeth.","Je brosse mes dents."
"I am brushing my teeth.","Je {{1::brosse}} mes dents."
"I'm {{1::brushing}} my teeth.","Je brosse mes dents."
"I'm brushing my teeth.","Je {{1::brosse}} mes dents."
"He's waiting for you at home.","Il {{1::t'attend}} à la maison."
"The dog is {{1::theirs}}.","Le chien est à eux."
"He was {{1::suffering}} from a bad headache.","Il souffrait de maux de tête."
"I {{1::danced}} all night long.","Je dansai toute la nuit."
"I know those {{1::women}}.","Je connais ces femmes."
"I know those women.","Je connais ces {{1::femmes}}."
"I never stopped {{1::loving}} you.","Je t’ai toujours aimée."
"I'm a {{1::human}}.","Je suis un être humain."
"I got it free.","Je l'ai eu {{1::gratuitement}}."
"Good morning, {{1::everybody}}.","Bonjour à tous."
"{{1::hi}} everybody.","Bonjour à tous."
"I didn't sign the {{1::contract}}.","Je n'ai pas signé le contrat."
"I didn't sign the contract.","Je n'ai pas {{1::signé}} le contrat."
"I was trying to {{1::reach}} you.","J'essayais de te joindre."
"I'm a good guy.","Je suis un {{1::mec}} bien."
"I don't understand {{1::either}}.","Je ne comprends pas non plus."
"I {{1::usually}} work in the morning.","Je travaille généralement le matin."
"I usually work in the morning.","Je travaille {{1::généralement}} le matin."
"Do it this way.","{{1::fais-le}} de cette manière."
"I will be staying for two {{1::nights}}.","Je resterai deux nuits."
"I will be staying for two nights.","Je resterai deux {{1::nuits}}."
"I didn't save the {{1::document}}.","Je n'ai pas enregistré le document."
"I didn't save the document.","Je n'ai pas {{1::enregistré}} le document."
"He has enough willpower.","Il dispose de suffisamment de {{1::volonté}}."
"I didn't save the {{1::file}}.","Je n'ai pas sauvegardé le fichier."
"I didn't save the {{1::document}}.","Je n'ai pas sauvegardé le document."
"He tried not to look at her.","Il {{1::essayait}} de ne pas la regarder."
"I speak {{1::ancient}} greek.","Je parle le grec ancien."
"I speak ancient greek.","Je parle le grec {{1::ancien}}."
"I'm going to be an {{1::uncle}}.","Je vais devenir tonton."
"I speak a few {{1::languages}}.","Je parle quelques langues."
"I speak a few languages.","Je parle quelques {{1::langues}}."
"I thought she loved me.","Je pensais qu'elle {{1::m'aimait}}."
"Do you {{1::weigh}} more than tom?","Pesez-vous plus que tom ?"
"Do you remember {{1::charles}}?","Te souviens-tu de charles ?"
"Do it this way.","{{1::faites-le}} de cette manière."
"Water doesn't have a {{1::color}}.","L’eau n’a pas de couleur."
"I speak {{1::toki}} pona.","Je parle le toki pona."
"I speak toki pona.","Je parle le {{1::toki}} pona."
"Tom has {{1::three}} of them.","Tom en a trois."
"Tom has three of them.","Tom en a {{1::trois}}."
"I'm {{1::heading}} home.","Je prends le chemin de la maison."
"Everything {{1::matters}}.","Tout est important."
"I can't {{1::prevent}} myself from thinking.","Je ne peux pas m'empêcher de penser."
"I need you right now.","J'ai {{1::immédiatement}} besoin de vous."
"I'm a {{1::stranger}} here.","Je suis un étranger ici."
"I am quite a {{1::stranger}} here.","Je suis un étranger ici."
"I will think of {{1::something}}.","Je penserai à quelque chose."
"{{1::above}} all, don't forget to write me.","Surtout, n'oublie pas de m'écrire."
"I don't like it, {{1::either}}.","Je ne l'aime pas non plus."
"I do not like him {{1::either}}.","Je ne l'aime pas non plus."
"The {{1::roses}} were from tom.","Les roses venaient de tom."
"I'm well aware of that.","Je suis bien {{1::conscient}} de ça."
"Can you {{1::afford}} it?","Pouvez-vous vous le payer ?"
"I'll do anything.","Je ferai {{1::n'importe}} quoi."
"{{1::hi}} everybody.","Salut à tous."
"I'm going to file a {{1::complaint}}.","Je vais porter plainte."
"I'm going to file a complaint.","Je vais porter {{1::plainte}}."
"{{1::above}} all, don't forget to write me.","Surtout, n'oubliez pas de m'écrire."
"We love them.","Nous les {{1::aimons}}."
"I have turned 20.","Je viens {{1::d'avoir}} 20 ans."
"I am hanging up my {{1::shirts}}.","Je pends mes chemises."
"I disappointed my {{1::teachers}}.","Je décevais mes enseignants."
"I have turned {{1::twenty}}.","Je viens d'avoir 20 ans."
