"English","French"
"He {{c::testified}}.","Il a témoigné."
"He {{c::insisted}}.","Il a insisté."
"He {{c::approved}}.","Il a approuvé."
"He {{c::disappeared}}.","Il a filé."
"He {{c::escaped}}.","Il a filé."
"He {{c::ran}} away.","Il a filé."
"He {{c::waved}}.","Il a salué."
"He {{c::hung}} up.","Il a raccroché."
"He {{c::swore}}.","Il a juré."
"He {{c::tripped}}.","Il a trébuché."
"He {{c::giggled}}.","Il a ricané."
"He {{c::struggled}}.","Il a lutté."
"I wouldn't do it.","Je ne {{c::ferais}} pas ça."
"He {{c::sneezed}}.","Il a éternué."
"He {{c::whispered}}.","Il a chuchoté."
"You {{c::aren't}} tom.","Vous n'êtes pas tom."
"You aren't tom.","Vous {{c::n'êtes}} pas tom."
"He {{c::repeated}} the year.","Il a redoublé."
"He {{c::whispered}}.","Il a murmuré."
"That doesn't {{c::happen}}.","Ça n'arrive pas."
"That doesn't happen.","Ça {{c::n'arrive}} pas."
"Don't you think?","Tu ne {{c::penses}} pas ?"
"Just a {{c::moment}} ...","Un instant..."
"Just a moment ...","Un {{c::instant}}..."
"Wait a {{c::minute}}.","Un instant..."
"Wait a minute.","Un {{c::instant}}..."
"I follow the {{c::rules}}.","Je suis les règles."
"I follow the rules.","Je suis les {{c::règles}}."
"I wouldn't say that.","Je ne {{c::dirais}} pas ça."
"It's one of {{c::those}}.","C'est un de ceux-là."
"It's one of those.","C'est un de {{c::ceux-là}}."
"You aren't smiling.","Tu ne {{c::souris}} pas."
"I'm not {{c::buying}} it.","Je ne gobe pas ça."
"I was {{c::counting}} on you.","Je comptais sur vous."
"I don't have the key.","Je n'ai pas la {{c::clé}}."
"Don't you eat?","Tu ne {{c::manges}} pas ?"
"You aren't looking.","Tu ne {{c::regardes}} pas."
"You don't like me.","Tu ne {{c::m'aimes}} pas."
"You don't love me!","Tu ne {{c::m'aimes}} pas !"
"You don't love me.","Tu ne {{c::m'aimes}} pas."
"You won't succeed.","Tu ne {{c::réussiras}} pas."
"You don't count.","Tu ne {{c::comptes}} pas."
"Do you not like them?","Ne les {{c::aimes-tu}} pas ?"
"You don't {{c::dress}} yourself.","Tu ne t'habilles pas."
"Do you not like them?","Ne les {{c::aimez-vous}} pas ?"
"You didn't {{c::dress}} yourself.","Tu ne t'habillais pas."
"You're not getting any {{c::younger}}.","Tu ne rajeunis pas."
"I don't have the {{c::ball}}.","Je n'ai pas la balle."
"I don't have the ball.","Je n'ai pas la {{c::balle}}."
"That was ours.","{{c::c'était}} à nous."
"Don't you {{c::recognize}} them?","Ne les reconnaissez-vous pas ?"
"I {{c::worked}} with tom.","Je travaillais avec tom."
"Don't you {{c::recognize}} them?","Ne les reconnais-tu pas ?"
"Let's not {{c::invite}} them.","Ne les invitons pas."
"Do you guys know each other?","Vous vous {{c::connaissez}} ?"
"You're {{c::mistaken}}.","Vous vous trompez."
"You're getting {{c::closer}}.","Vous vous approchez."
"You're {{c::fooling}} yourself.","Vous vous leurrez."
"You {{c::fan}} yourself.","Vous vous éventiez."
"You are getting {{c::undressed}}.","Vous vous déshabilliez."
"You are {{c::improving}}!","Vous vous améliorez !"
"Don't forget that.","{{c::n'oubliez}} pas ça."
"I can help you.","Je peux vous {{c::aider}}."
"I {{c::told}} you so!","Je vous l'avais dit !"
"I told you so!","Je vous {{c::l'avais}} dit !"
"I told you so.","Je vous {{c::l'avais}} dit !"
"I'm {{c::homeless}}.","Je suis à la rue."
"I'm homeless.","Je suis à la {{c::rue}}."
"I'm on the {{c::streets}}.","Je suis à la rue."
"I'm on the streets.","Je suis à la {{c::rue}}."
"That won't happen.","Ça {{c::n'arrivera}} pas."
"It won't happen.","Ça {{c::n'arrivera}} pas."
"It will not happen.","Ça {{c::n'arrivera}} pas."
"That {{c::ain't}} going to happen.","Ça n'arrivera pas."
"I want a {{c::book}}.","Je veux un livre."
"I want a book.","Je veux un {{c::livre}}."
"Don't buy that.","{{c::n'achète}} pas ça."
"Don't buy that one.","{{c::n'achète}} pas ça."
"She {{c::wants}} him.","Elle le veut."
"She wants him.","Elle le {{c::veut}}."
"I want a {{c::job}}.","Je veux un travail."
"I want a job.","Je veux un {{c::travail}}."
"I'm at the {{c::prison}}.","Je suis à la prison."
"I'm at the prison.","Je suis à la {{c::prison}}."
"It's not getting {{c::worse}}.","Ça n'empire pas."
"I'm at the {{c::beach}}.","Je suis à la plage."
"I'm at the beach.","Je suis à la {{c::plage}}."
"That is the first {{c::step}}.","C'est le premier pas."
"That is the first step.","C'est le {{c::premier}} pas."
"It's the first {{c::step}}.","C'est le premier pas."
"It's the first step.","C'est le {{c::premier}} pas."
"I don't like the new {{c::guy}}.","Je n'aime pas le nouveau."
"I am at the {{c::bank}}.","Je suis à la banque."
"I am at the bank.","Je suis à la {{c::banque}}."
"I'm at the {{c::bank}}.","Je suis à la banque."
"I'm at the bank.","Je suis à la {{c::banque}}."
"I am retired.","Je suis à la {{c::retraite}}."
"I'm retired.","Je suis à la {{c::retraite}}."
"I don't like coffee.","Je n'aime pas le {{c::café}}."
"I dislike cold weather.","Je n'aime pas le {{c::froid}}."
