"English","French"
"I'll be ready.","Je serai {{c::prête}}."
"{{c::beware}} of him.","Méfie-toi de lui."
"Don't {{c::miss}} it.","Ne le manque pas."
"I remember it!","Je m'en {{c::souviens}} !"
"I remember this.","Je m'en {{c::souviens}}."
"I remember.","Je m'en {{c::souviens}}."
"I'll be {{c::sad}}.","Je serai triste."
"I'll be sad.","Je serai {{c::triste}}."
"I'm the {{c::boss}}.","Je suis le patron."
"I'm the boss.","Je suis le {{c::patron}}."
"I {{c::woke}} you up.","Je t'ai réveillé."
"I woke you up.","Je t'ai {{c::réveillé}}."
"I {{c::finally}} understand.","Je comprends finalement."
"I finally understand.","Je comprends {{c::finalement}}."
"I understand {{c::finally}}.","Je comprends finalement."
"I understand finally.","Je comprends {{c::finalement}}."
"I can't feel it.","Je ne le {{c::sens}} pas."
"I continue to be {{c::optimistic}}.","Je reste optimiste."
"I continue to be optimistic.","Je reste {{c::optimiste}}."
"I believed you.","Je t'ai {{c::cru}}."
"I have {{c::chosen}} you!","Je t'ai choisi !"
"I have chosen you!","Je t'ai {{c::choisi}} !"
"Now i'm {{c::done}} for.","Je laisse tomber."
"Now i'm done for.","Je laisse {{c::tomber}}."
"I'll be {{c::nice}}.","Je serai gentil."
"I'll be nice.","Je serai {{c::gentil}}."
"I like it {{c::hot}}.","Je l'aime chaud."
"I am {{c::acquainted}} with the author.","Je connais l'auteur."
"I am acquainted with the author.","Je connais {{c::l'auteur}}."
"I'm the {{c::guilty}} one.","Je suis le coupable."
"I'm the guilty one.","Je suis le {{c::coupable}}."
"Don't look at him!","Ne le {{c::regardez}} pas !"
"I'll be {{c::honest}}.","Je serai honnête."
"I'll be honest.","Je serai {{c::honnête}}."
"I remain {{c::skeptical}}.","Je reste sceptique."
"I remain skeptical.","Je reste {{c::sceptique}}."
"I'm still {{c::skeptical}}.","Je reste sceptique."
"I'm still skeptical.","Je reste {{c::sceptique}}."
"I'll {{c::attend}}.","Je serai présent."
"I'll attend.","Je serai {{c::présent}}."
"I'll be {{c::present}}.","Je serai présent."
"I'll be present.","Je serai {{c::présent}}."
"I'm going to be there.","Je serai {{c::présent}}."
"I followed you.","Je t'ai {{c::suivi}}."
"I've been {{c::following}} you.","Je t'ai suivi."
"I {{c::rescued}} you.","Je t'ai sauvé."
"I rescued you.","Je t'ai {{c::sauvé}}."
"I {{c::saved}} you.","Je t'ai sauvé."
"I saved you.","Je t'ai {{c::sauvé}}."
"I know {{c::skura}}.","Je connais skura."
"I know skura.","Je connais {{c::skura}}."
"I {{c::woke}} you up.","Je t'ai réveillée."
"I woke you up.","Je t'ai {{c::réveillée}}."
"I'm {{c::happy}} with it.","Je m'en contente."
"I'm happy with it.","Je m'en {{c::contente}}."
"I'll {{c::return}} soon.","Je reviens bientôt."
"I'll be back in a little {{c::bit}}.","Je reviens bientôt."
"It will not be long {{c::before}} i come back.","Je reviens bientôt."
"I have been looking for you.","Je t'ai {{c::cherché}}."
"I {{c::heard}} you.","Je t'ai entendue."
"I heard you.","Je t'ai {{c::entendue}}."
"I remain {{c::doubtful}}.","Je reste dubitatif."
"I {{c::can}} do it.","Je peux le faire."
"I'm the {{c::captain}}.","Je suis le capitaine."
"I'm the captain.","Je suis le {{c::capitaine}}."
"I hate {{c::flying}}.","Je déteste voler."
"I'll be careful.","Je serai {{c::prudent}}."
"I {{c::betrayed}} you.","Je t'ai trahi."
"I betrayed you.","Je t'ai {{c::trahi}}."
"I'm the cook.","Je suis le {{c::cuisinier}}."
"I called you.","Je t'ai {{c::appelée}}."
"I've upset you.","Je t'ai {{c::contrarié}}."
"I prefer {{c::walking}}.","Je préfère marcher."
"I'm {{c::counting}} on it.","Je compte dessus."
"I'm counting on it.","Je compte {{c::dessus}}."
"I am hawk moth.","Je suis le {{c::papillon}}."
"{{c::excuse}} me, i'm coming through.","Excusez-moi, je passe."
"Excuse me, i'm coming through.","{{c::excusez-moi}}, je passe."
"I loved you.","Je t'ai {{c::aimée}}."
"I {{c::could}} help you out.","Je pourrais t'aider."
"I'm the {{c::manager}}.","Je suis le gérant."
"I'm the manager.","Je suis le {{c::gérant}}."
"I hate {{c::winter}}.","Je déteste l'hiver."
"I hate winter.","Je déteste {{c::l'hiver}}."
"I hate the {{c::winter}}.","Je déteste l'hiver."
"I hate the winter.","Je déteste {{c::l'hiver}}."
"I don't give a {{c::damn}} about it!","Je m'en fiche !"
"I don't give a damn about it!","Je m'en {{c::fiche}} !"
"I don't {{c::care}}.","Je m'en fiche."
"I don't care.","Je m'en {{c::fiche}}."
"I don't {{c::care}}!","Je m'en fiche !"
"I don't care!","Je m'en {{c::fiche}} !"
"I understand {{c::completely}}.","Je comprends parfaitement."
"I understand completely.","Je comprends {{c::parfaitement}}."
"I understand {{c::perfectly}}.","Je comprends parfaitement."
"I understand perfectly.","Je comprends {{c::parfaitement}}."
"I'm the {{c::surgeon}}.","Je suis le chirurgien."
"I've upset you.","Je t'ai {{c::contrariée}}."
"I'm the {{c::killer}}.","Je suis le tueur."
"I'm the {{c::winner}}.","Je suis le vainqueur."
