"English","French"
"Ziri doesn't want {{c::rima}} to work.","Ziri ne veut pas que rima travaille."
"Ziri doesn't want rima to work.","Ziri ne veut pas que {{c::rima}} travaille."
"Your name {{c::stands}} first in the list.","Votre nom est en tête de liste."
"I led him by the hand.","Je lui ai {{c::mené}} par la main."
"He knows his {{c::onions}}.","Il connaît son affaire."
"I need another three hundred dollars.","J'ai besoin de trois {{c::cents}} dollars de plus."
"We're closed.","Nous sommes {{c::fermés}}."
"We're strong.","Nous sommes {{c::forts}}."
"I can't tell one twin from the other.","Je n'arrive pas à distinguer ces deux {{c::jumeaux}}."
"He hit the ball with the {{c::bat}}.","Il frappa la balle avec la batte."
"She {{c::revealed}} the secret to him.","Elle lui révéla le secret."
"She revealed the secret to him.","Elle lui {{c::révéla}} le secret."
"The country is headed on the wrong {{c::track}}.","Le pays est sur la mauvaise pente."
"I need {{c::medical}} help right now.","Je dois me faire soigner de toute urgence."
"We went out.","Nous sommes {{c::sortis}}."
"It is {{c::bold}} of you to say such a thing.","C'est gonflé de ta part de dire ça."
"When the alarm clock goes off, i {{c::don’t}} move.","Lorsque le réveil se déclenche, je ne bouge pas."
"We're {{c::contented}}.","Nous sommes satisfaits."
"We're {{c::twins}}.","Nous sommes jumeaux."
"We're strong.","Nous sommes {{c::fortes}}."
"{{c::frost}} has damaged the flowers.","Le gel a abîmé les fleurs."
"He {{c::acquired}} influence in the royal court.","Il a acquis de l'influence à la cour royale."
"There is strength in {{c::numbers}}.","Il y a de la force dans les nombres."
"There is strength in numbers.","Il y a de la force dans les {{c::nombres}}."
"We're objective.","Nous sommes {{c::objectifs}}."
"This book has more than {{c::eighty}} pages.","Ce livre a plus de quatre-vingts pages."
"I tried to put an end to the {{c::quarrel}}.","J'ai tenté de mettre fin à la dispute."
"I tried to put an end to the quarrel.","J'ai tenté de mettre fin à la {{c::dispute}}."
"Tom bought a couple of cans of tomatoes.","Tom a acheté deux {{c::boîtes}} de tomates."
"We are worried.","Nous sommes {{c::inquiets}}."
"Don't leave valuable {{c::items}} in the car.","Ne laissez pas d'objets de valeur dans la voiture."
"We're {{c::separated}}.","Nous sommes séparés."
"We're {{c::refugees}}.","Nous sommes réfugiés."
"We're refugees.","Nous sommes {{c::réfugiés}}."
"We are algerian.","Nous sommes {{c::algériens}}."
"{{c::sam}} is two years younger than tom.","Sam a deux ans de moins que tom."
"We're weak.","Nous sommes {{c::faibles}}."
"We're popular.","Nous sommes {{c::populaires}}."
"He works in a {{c::factory}}.","Il travaille dans une usine."
"He works in a factory.","Il travaille dans une {{c::usine}}."
"He didn't dare jump across the {{c::stream}}.","Il n'osa pas sauter par-dessus le ruisseau."
"Tom died in mary's {{c::arms}}.","Tom est mort dans les bras de mary."
"We are {{c::cousins}}.","Nous sommes cousins."
"Tom poured a glass of wine for himself.","Tom s'est {{c::versé}} un verre de vin."
"Fish is sold by the {{c::pound}} here.","Ici, le poisson est vendu à la livre."
"We're {{c::contented}}.","Nous sommes satisfaites."
"We're {{c::lawyers}}.","Nous sommes avocats."
"He has a six-figure salary.","Il a un salaire à six {{c::chiffres}}."
"Take it easy. i'm with you.","{{c::calme-toi}} un peu. je suis avec toi."
"They probably didn't hear you.","Ils ne {{c::t'ont}} probablement pas entendu."
"He is studying hard.","Il étudie avec {{c::application}}."
"Dan {{c::participated}} in a marathon.","Dan a participé à un marathon."
"We discussed the article i {{c::published}}.","Nous discutâmes de l'article que j'avais publié."
"It isn't easy to {{c::memorize}} dates.","Ce n'est pas facile de mémoriser les dates."
"She lit the candles.","Elle a allumé les {{c::bougies}}."
"What is your {{c::profession}}?","Quel est votre emploi ?"
"He makes everybody feel at ease.","Il {{c::met}} tout le monde à l'aise."
"Women are not {{c::objects}}.","Les femmes ne sont pas des objets."
"Women are not objects.","Les femmes ne sont pas des {{c::objets}}."
"I have no more desire to eat sweets.","Je n'ai plus le {{c::désir}} de manger des sucreries."
"We're proud of our {{c::achievement}}.","Nous sommes fiers de notre réussite."
"This clock is {{c::electric}}.","Cette montre est électrique."
"This clock is electric.","Cette montre est {{c::électrique}}."
"{{c::palestinians}} are not animals.","Les palestiniens ne sont pas des animaux."
"I think i {{c::could've}} done better.","Je pense que j'aurais pu mieux faire."
"Don't be noisy on such an occasion.","Ne sois pas bruyant dans de telles {{c::circonstances}}."
"Which is the {{c::route}} to paris?","Quelle est la route pour paris ?"
"He appealed for help.","Il a {{c::lancé}} un appel à l'aide."
"Tom made three {{c::errors}}.","Tom a fait trois erreurs."
"Tom tried to control his {{c::emotions}}.","Tom a essayé de contrôler ses émotions."
"We are living in the age of {{c::nuclear}} power.","Nous vivons à l'ère de l'énergie nucléaire."
"We are living in the {{c::atomic}} age.","Nous vivons à l'ère de l'énergie nucléaire."
"I tugged on the rope.","J'ai tiré sur la {{c::corde}}."
"Opinions are not facts.","Les {{c::opinions}} ne sont pas des faits."
"The government punished them {{c::severely}}.","Le gouvernement les a sévèrement punis."
"He gave her a piece of paper.","Il lui donna une {{c::feuille}} de papier."
"I didn't know that you {{c::owned}} a snake.","Je ne vous savais pas en possession d'un serpent."
"I didn't know that you owned a snake.","Je ne vous savais pas en {{c::possession}} d'un serpent."
"I haven't seen him in a few days.","Je ne l'ai pas vu depuis {{c::quelques}} jours."
"There are few parking {{c::opportunities}} here.","Il y a ici peu de possibilités de stationnement."
"Spiders aren't {{c::insects}}.","Les araignées ne sont pas des insectes."
"Spiders aren't insects.","Les araignées ne sont pas des {{c::insectes}}."
"I succeeded in reaching the top of the mountain.","J'ai réussi à {{c::atteindre}} le sommet de la montagne."
"This plan is currently under consideration.","Ce projet est actuellement à {{c::l'étude}}."
"What's your {{c::major}}?","Quelle est votre spécialité ?"
"Swimming in the pond is dangerous.","C'est dangereux de nager dans {{c::l'étang}}."
"What is your {{c::strategy}}?","Quelle est votre stratégie ?"
"He's going to sit here.","Il va {{c::s'asseoir}} ici."
"{{c::palestinians}} aren't aliens.","Les palestiniens ne sont pas des extraterrestres."
"Don't trust him with such a large {{c::sum}} of money.","Ne lui confie pas autant d'argent !"
"Tom says that he has changed his {{c::ways}}.","Tom a dit qu'il a changé."
"Don't go against his {{c::wishes}}.","Ne va pas contre ses désirs."
"I don't want to get a {{c::haircut}}.","Je ne veux pas me faire couper les cheveux."
"The work is hereby done.","Le travail est {{c::effectué}} par la présente."
"The people don't like the {{c::birds}}.","Ce peuple n'aime pas les oiseaux."
"I've got real feelings for you.","J'ai de {{c::vrais}} sentiments à ton égard."
"Can you empty mary's {{c::pockets}}?","Peux-tu vider les poches de mary ?"
"How many {{c::ways}} are there to do that?","Combien de façons y a-t-il de faire ça ?"
"Don't talk about such a thing.","Ne parle pas d'une {{c::telle}} chose."
"This show is stupid.","Cette {{c::série}} est stupide."
