"English","French"
"No smoking {{1::indoors}}.","Ne pas fumer à l'intérieur."
"Ah, gotcha!","{{1::ah}}, je te tiens !"
"She {{1::advised}} him against doing it.","Elle le dissuada de le faire."
"There's no {{1::salt}}.","Il n'y a pas de sel."
"There's no salt.","Il n'y a pas de {{1::sel}}."
"I can't stand {{1::rats}}.","Je ne supporte pas les rats."
"I can't stand rats.","Je ne supporte pas les {{1::rats}}."
"There's no {{1::exit}}.","Il n'y a pas de sortie."
"French is {{1::interesting}}.","Le français est intéressant."
"French is interesting.","Le français est {{1::intéressant}}."
"What's the number?","Quel est le {{1::numéro}} ?"
"I own this {{1::sentence}}.","Je possède cette phrase."
"There is no paint.","Il n'y a pas de {{1::peinture}}."
"There's no {{1::damage}}.","Il n'y a pas de dommage."
"There's no damage.","Il n'y a pas de {{1::dommage}}."
"There are no restrooms.","Il n'y a pas de {{1::toilettes}}."
"I'm tough.","Je suis dur à {{1::cuire}}."
"I owe him 100 {{1::yen}}.","Je lui dois 100 yens."
"I owe him 100 yen.","Je lui dois 100 {{1::yens}}."
"I owe him 50,000 {{1::yen}}.","Je lui dois 50,000 yens."
"I owe him 50,000 yen.","Je lui dois 50,000 {{1::yens}}."
"The house is clean.","La maison est {{1::propre}}."
"There're no lights.","Il n'y a pas de {{1::lumières}}."
"There's no change.","Il n'y a pas de {{1::changement}}."
"There's no {{1::cure}}.","Il n'y a pas de traitement."
"There's no cure.","Il n'y a pas de {{1::traitement}}."
"The house is red.","La maison est {{1::rouge}}."
"There's no {{1::cure}}.","Il n'y a pas de remède."
"There's no cure.","Il n'y a pas de {{1::remède}}."
"There are no {{1::customers}}.","Il n'y a pas de clients."
"There are no customers.","Il n'y a pas de {{1::clients}}."
"I couldn't do that.","Je n'ai pas {{1::pu}} le faire."
"I can't stand {{1::ignorant}} people.","Je ne tolère pas les imbéciles."
"There's no {{1::limit}}.","Il n'y a pas de limite."
"There's no limit.","Il n'y a pas de {{1::limite}}."
"There are no {{1::limits}}.","Il n'y a pas de limite."
"There are no limits.","Il n'y a pas de {{1::limite}}."
"There is no {{1::limit}}.","Il n'y a pas de limite."
"What's the {{1::reason}}?","Quelle est la raison ?"
"There's no {{1::soap}}.","Il n'y a pas de savon."
"There's no soap.","Il n'y a pas de {{1::savon}}."
"I'll keep you updated.","Je te tiens {{1::informé}}."
"There is no tomorrow.","Il n'y a pas de {{1::lendemain}}."
"There are no witnesses.","Il n'y a pas de {{1::témoin}}."
"There are no {{1::gods}}.","Il n'y a pas de dieux."
"There are no gods.","Il n'y a pas de {{1::dieux}}."
"There's no {{1::link}}.","Il n'y a pas de lien."
"There's no link.","Il n'y a pas de {{1::lien}}."
"I want to hear you say it.","Je veux {{1::t'entendre}} le dire."
"Tom didn't like {{1::mary}}.","Tom n'aimait pas marie."
"There are no {{1::knives}}.","Il n'y a pas de couteaux."
"There are no knives.","Il n'y a pas de {{1::couteaux}}."
"There are no loopholes.","Il n'y a pas de {{1::faille}}."
"I am {{1::filthy}} rich.","Je suis riche à millions."
"I am filthy rich.","Je suis riche à {{1::millions}}."
"Mind you don't {{1::trip}}.","Attention à ne pas trébucher !"
"Watch out that you don't {{1::trip}}.","Attention à ne pas trébucher !"
"I hate this {{1::carpet}}.","Je déteste cette moquette."
"You {{1::weren't}} ready.","Vous n'étiez pas prêts."
"You weren't ready.","Vous {{1::n'étiez}} pas prêts."
"I must obey her.","Je dois lui {{1::obéir}}."
"What more can be done?","Que {{1::peut-on}} faire de plus ?"
"I get up at {{1::six}}.","Je me lève à 6 heures."
"I get up at six.","Je me {{1::lève}} à 6 heures."
"{{1::everything's}} taken care of.","On s'occupe de tout."
"You weren't ready.","Vous {{1::n'étiez}} pas prêtes."
"He is hard to please.","Il est difficile de le {{1::satisfaire}}."
"I'm open to the idea.","Je suis ouvert à {{1::l'idée}}."
"He has quite a few {{1::records}}.","Il a pas mal de disques."
"I don't like those {{1::shoes}}.","Je n'aime pas ces chaussures-là."
"Tom seems to be contributing.","Tom a l'air de {{1::contribuer}}."
"French is {{1::useful}}.","Le français est utile."
"French is useful.","Le français est {{1::utile}}."
"I don't understand this {{1::country}}.","Je ne comprends pas ce pays."
"How does tom's suggestion strike you?","Que penses-tu de la {{1::proposition}} de tom ?"
"I didn't meet anyone.","Je n'ai {{1::rencontré}} personne."
"What's the {{1::message}}?","Quel est le message ?"
"What's the message?","Quel est le {{1::message}} ?"
"I was born in {{1::osaka}}.","Je suis né à osaka."
"I was born in osaka.","Je suis né à {{1::osaka}}."
"I don't like this place.","Je n'aime pas cet {{1::endroit}}."
"I go to bed at {{1::eleven}}.","Je me couche à 11 heures."
"I go to bed at eleven.","Je me {{1::couche}} à 11 heures."
"I was born in {{1::moscow}}.","Je suis né à moscou."
"I was born in moscow.","Je suis né à {{1::moscou}}."
"I'm running out of energy.","Je suis à court {{1::d'énergie}}."
"The book is {{1::white}}.","Le livre est blanc."
"The book is white.","Le livre est {{1::blanc}}."
"The book's white.","Le livre est {{1::blanc}}."
"I'm out of {{1::gas}}.","Je suis à court d'essence."
"I'm out of gas.","Je suis à court {{1::d'essence}}."
"I'm ready to help you.","Je suis {{1::disposé}} à t'aider."
"The woman {{1::reads}}.","La femme lit."
"I'm running out of {{1::ideas}}.","Je suis à court d'idées."
"I'm running out of ideas.","Je suis à court {{1::d'idées}}."
"I have no more ideas.","Je suis à court {{1::d'idées}}."
"I leave this {{1::afternoon}}.","Je pars cette après-midi."
"What's the {{1::goal}}?","Quel est le but ?"
"What's the goal?","Quel est le {{1::but}} ?"
"Thank you and {{1::goodbye}}!","Je te remercie, adieu !"
