"English","French"
"I'm fed up with your {{c::constant}} complaining.","Je suis excédé par vos plaintes incessantes."
"Flowers are yellow.","Les fleurs sont {{c::jaunes}}."
"The {{c::pirates}} had no choice but to surrender.","Les pirates n'avaient pas d'autre choix que de se rendre."
"Did you go to the doctor?","{{c::t'es-tu}} rendu chez le médecin ?"
"Russia is the {{c::largest}} country in the world.","La russie est le pays le plus étendu du monde."
"The situation will {{c::surely}} improve.","La situation va sûrement s'améliorer."
"The dogs are white.","Les chiens sont {{c::blancs}}."
"How long ago did you have surgery?","À quand {{c::remonte}} votre opération ?"
"Soccer is the {{c::world's}} most popular sport.","Le football est le sport le plus populaire au monde."
"He married a {{c::local}} girl.","Il a épousé une fille du coin."
"Do you have a bowl for soup?","Est-ce que tu as un {{c::bol}} pour la soupe ?"
"On hearing this, he turned pale.","En {{c::entendant}} cela, il est devenu pâle."
"Before, he would go to the {{c::firm}} on foot.","Autrefois il allait à l'entreprise en marchant."
"He put forward a plan for improving the rate of {{c::production}}.","Il présenta un programme pour augmenter le taux de production."
"I'll do it when hell {{c::freezes}} over.","Je le ferai lorsque les poules auront des dents."
"No criminal charges will be {{c::filed}} against you.","Vous ne ferez l'objet d'aucune incrimination."
"The {{c::monkeys}} stole all the food.","Les singes volèrent toute la nourriture."
"You can't say no.","Tu ne peux pas dire {{c::«}} non »."
"We all wear {{c::uniforms}} to school.","Nous portons tous un uniforme à l'école."
"What was wrong with the old one?","Qu'est-ce qui n'allait pas avec {{c::l'ancien}} ?"
"What are the {{c::symptoms}}?","Quels sont les symptômes ?"
"They weren't able to {{c::discover}} any secrets.","Ils furent incapables de découvrir le moindre secret."
"This tree {{c::measures}} three meters around.","Cet arbre a une circonférence de trois mètres."
"Someone needs to take the {{c::bin}} out.","Quelqu'un doit sortir la poubelle."
"The leaves fell.","Les feuilles sont {{c::tombées}}."
"This machine is hard to {{c::operate}}.","Cette machine est difficile à faire fonctionner."
"Your hair smells like spring.","Tes cheveux {{c::sentent}} le printemps."
"Her {{c::cheeks}} were as cold as ice.","Ses joues étaient froides comme de la glace."
"He {{c::focused}} his eyes on the roof.","Il focalisa son regard sur le toit."
"I don't usually eat at places like this.","Je ne mange pas dans des {{c::endroits}} comme celui-ci, habituellement."
"Who was the {{c::female}} you were talking to?","Qui était celle à qui vous parliez ?"
"The {{c::stores}} are closed!","Les magasins sont fermés !"
"Those trees hide the {{c::landscape}}.","Ces arbres cachent le paysage."
"When did you do this?","Tu as fait ça {{c::quand}} ?"
"The {{c::victims}} of the earthquake disaster are numerous.","Les victimes de la catastrophe du séisme sont nombreuses."
"{{c::dolphins}} are curious.","Les dauphins sont curieux."
"The gods are pleased.","Les {{c::dieux}} sont satisfaits."
"Flowers are growing in the {{c::meadow}}.","Des fleurs poussent dans le pré."
"Human beings {{c::communicate}} in many ways.","Les êtres humains communiquent de plusieurs manières."
"Do you {{c::regularly}} experience dry mouth?","As-tu régulièrement la bouche sèche ?"
"Flowers are growing in the {{c::meadow}}.","Des fleurs croissent dans le pré."
"{{c::textbooks}} are expensive.","Les manuels sont chers."
"The {{c::tyres}} are worn.","Les pneus sont usés."
"The shop {{c::stays}} open all day.","Le magasin reste ouvert toute la journée."
"The {{c::negotiations}} have ended.","Les négociations sont terminées."
"{{c::pirates}} are cruel.","Les pirates sont cruels."
"{{c::musical}} theater is not popular in greece.","Le théâtre musical n'est pas populaire en grèce."
"The {{c::files}} are missing.","Les fichiers sont manquants."
"The automobile runs on electricity.","Cette {{c::automobile}} fonctionne à l'électricité."
"The hospital has three {{c::wings}}.","L'hôpital a trois ailes."
"The hospital has three wings.","L'hôpital a trois {{c::ailes}}."
"This land belongs to the {{c::royal}} family.","Cette terre appartient à la famille royale."
"Her words angered him.","Ses paroles le {{c::mirent}} en colère."
"The {{c::farmers}} are working in the field.","Des paysans travaillent dans le champ."
"I read the {{c::article}}.","J'ai lu l'article."
"He worked long into the night.","Il a travaillé {{c::jusque}} tard dans la nuit."
"Around honey, there is no lack of flies.","Autour du miel, les {{c::mouches}} ne manquent pas."
"He had a {{c::mild}} heart attack.","Il a eu un léger malaise cardiaque."
"The frost did a lot of damage to the {{c::crops}}.","Le gel causa beaucoup de dommages aux récoltes."
"He asked the {{c::general}} to take back his order.","Il demanda au général de retirer son ordre."
"Did it not {{c::occur}} to you to close the windows?","N'est-il pas venu à ton esprit de fermer les fenêtres ?"
"Is this {{c::typewriter}} yours?","Cette machine à écrire est-elle la vôtre ?"
"The {{c::theatre}} usually opened at this time.","Le théâtre s'ouvrait habituellement à cette heure-là."
"I was home for a couple of days.","J'étais à la maison {{c::pendant}} quelques jours."
"I can't figure out how to {{c::operate}} this machine.","Je n'arrive pas à comprendre comment faire fonctionner cette machine."
"Music {{c::feeds}} our imagination.","La musique nourrit notre imagination."
"Tom seems very {{c::distant}} today.","Tom a l'air très distant aujourd'hui."
"How could it be?","Comment ce {{c::pourrait-il}} être ?"
"Tom rode the roller coaster.","Tom est monté sur les montagnes {{c::russes}}."
"All sorts of people came to the {{c::exhibition}}.","Toutes sortes de gens sont venus à l'exposition."
"Someone turned the alarm off.","Quelqu'un a éteint {{c::l'alarme}}."
"Have you ever {{c::ridden}} a horse?","Êtes-vous jamais monté à cheval ?"
"When he has eaten, he goes to sleep.","{{c::lorsqu'il}} a mangé, il va dormir."
"The {{c::circumstances}} did not allow me to go abroad.","Les circonstances ne m'ont pas permises d'aller à l'étranger."
"Do in rome as the {{c::romans}} do.","À rome comme chez les romains."
"Do in rome as the romans do.","À rome comme chez les {{c::romains}}."
"When in rome, do as the romans do.","À rome comme chez les {{c::romains}}."
"How long ago did you have surgery?","À quand {{c::remonte}} ton opération ?"
"A party of scientists were on board with them.","Un groupe de {{c::scientifiques}} était à bord avec eux."
"Compared to our house, yours is a {{c::palace}}.","Comparée à notre maison, la vôtre est un palais."
"Compared to our house, his is a {{c::palace}}.","Comparée à notre maison, la sienne est un palais."
"Speaking of foreign languages, can you speak french?","En {{c::parlant}} de langues étrangères, parlez-vous français ?"
"Speaking of foreign languages, do you speak french?","En {{c::parlant}} de langues étrangères, parlez-vous français ?"
"Do in rome as the romans do.","À rome, fais comme les {{c::romains}}."
"There are a lot of beautiful places in japan.","Il y a beaucoup de beaux {{c::endroits}} au japon."
"Who {{c::ruled}} this country?","Qui gouvernait ce pays ?"
"We arrived first.","Nous sommes arrivés les {{c::premiers}}."
"Don’t push me too hard. {{c::it’s}} dangerous.","Ne me poussez pas trop fort. c'est dangereux."
"It's {{c::their}} dog?","C'est leur chien ?"
"My appetite was large.","J'avais un grand {{c::appétit}}."
"Not all of the passengers were wearing seat belts.","Les passagers ne {{c::portaient}} pas tous leur ceinture de sécurité."
"At these {{c::events}} they sell few products.","Ils vendent peu de produits lors de ces événements."
"They were {{c::symptoms}} of the earthquake.","C'étaient des symptômes du tremblement de terre."
"He made an important {{c::scientific}} discovery.","Il a fait une découverte scientifique importante."
"It was a fire by arson.","C'était un {{c::incendie}} criminel."
"He hurt his knee when he fell.","Il s'est blessé le {{c::genou}} lorsqu'il est tombé."
"My uncle lives in the east of spain.","Mon oncle vit dans l'est de {{c::l'espagne}}."
"She helped me out {{c::countless}} times.","Elle m'a aidé un nombre incalculable de fois."
"Tom hurt his knee when he fell.","Tom s'est blessé le {{c::genou}} quand il est tombé."
"How did you know we {{c::were}} here?","Comment savais-tu que nous étions là ?"
