"English","French"
"He's powerful.","Il est {{c::puissant}}."
"He is a {{c::painter}}.","Il est peintre."
"He is a painter.","Il est {{c::peintre}}."
"He is {{c::british}}.","Il est britannique."
"He is british.","Il est {{c::britannique}}."
"He's {{c::unconscious}}.","Il est inconscient."
"He's unconscious.","Il est {{c::inconscient}}."
"He's stubborn.","Il est {{c::têtu}}."
"He's sexy.","Il est {{c::sexy}}."
"He is a {{c::detective}}.","Il est détective."
"He is {{c::hard}} up for money.","Il est fauché."
"I knew her well.","Je la {{c::connaissais}} bien."
"He's an {{c::author}}.","Il est auteur."
"He's {{c::wet}}.","Il est mouillé."
"He's {{c::left-handed}}.","Il est gaucher."
"He's {{c::kicked}} out.","Il est largué."
"He's a {{c::model}}.","Il est mannequin."
"He has {{c::blond}} hair.","Il est blond."
"He's {{c::blond}}.","Il est blond."
"He's {{c::ruthless}}.","Il est impitoyable."
"He's sitting on the {{c::fence}}.","Il est indécis."
"He's {{c::irresponsible}}!","Il est irresponsable !"
"He is {{c::unpredictable}}.","Il est imprévisible."
"He is a soccer {{c::player}}.","Il est footballeur."
"He is a football {{c::player}}.","Il est footballeur."
"He's a football {{c::player}}.","Il est footballeur."
"He makes {{c::sense}}.","Il est sensé."
"He is {{c::delicate}}.","Il est délicat."
"He is {{c::incompetent}}.","Il est incompétent."
"He is {{c::illiterate}}.","Il est analphabète."
"He's {{c::talkative}}.","Il est bavard."
"He's out of {{c::practice}}.","Il est rouillé."
"He is a man of few {{c::words}}.","Il est taciturne."
"He's {{c::quiet}}.","Il est taciturne."
"He is {{c::quiet}}.","Il est taciturne."
"He is {{c::reserved}}.","Il est taciturne."
"He's out of {{c::breath}}.","Il est essoufflé."
"He is a {{c::rude}} person.","Il est malpoli."
"He's {{c::annoying}}.","Il est embêtant."
"He isn't running.","Il ne {{c::court}} pas."
"He's down to {{c::earth}}.","Il est concret."
"He {{c::volunteers}}.","Il est bénévole."
"He is out of {{c::pocket}}.","Il est lessivé."
"He is a {{c::psychic}}.","Il est médium."
"He's {{c::loaded}}.","Il est blindé."
"He's addicted to {{c::heroin}}.","Il est héroïno-dépendant."
"He is a heroin {{c::addict}}.","Il est héroïno-dépendant."
"He's {{c::swiss}}.","Il est helvète."
"He is {{c::hated}}.","Il est haï."
"He's a beat {{c::officer}}.","Il est patrouilleur."
"I know it myself.","Je le sais {{c::moi-même}}."
"He is not sleeping.","Il ne {{c::dort}} pas."
"He doesn't drink.","Il ne {{c::boit}} pas."
"Look, i know that.","{{c::écoute}}, je le sais."
"He {{c::doesn't}} love me.","Il ne m'aime pas."
"That's {{c::hers}}.","C'est à elle."
"It doesn't {{c::fit}}.","Il ne convient pas."
"It doesn't fit.","Il ne {{c::convient}} pas."
"I know {{c::latin}}.","Je sais le latin."
"I know latin.","Je sais le {{c::latin}}."
"He made no {{c::reply}}.","Il ne répondit pas."
"He made no reply.","Il ne {{c::répondit}} pas."
"I know from experience.","Je le sais {{c::d'expérience}}."
"He wasn't sleeping.","Il ne {{c::dormait}} pas."
"No need to worry.","Pas de quoi {{c::s'inquiéter}}."
"He's not {{c::breathing}}!","Il ne respire pas !"
"He's not breathing!","Il ne {{c::respire}} pas !"
"It doesn't {{c::belong}} to you.","Il ne t'appartient pas."
"He didn't {{c::protest}}.","Il ne protesta pas."
"He won't {{c::bite}}.","Il ne mordra pas."
"He would not {{c::approve}}.","Il ne l'approuverait pas."
"I can fix it.","Je peux la {{c::réparer}}."
"I must know.","Je dois le {{c::savoir}}."
"I have to know.","Je dois le {{c::savoir}}."
"I can {{c::comfort}} her.","Je peux la consoler."
"I can {{c::fake}} it.","Je peux la simuler."
"I feel it now.","Je le {{c::sens}}, maintenant."
"I'm {{c::dying}} to see him.","Je désespère de le voir !"
"I would like to see it.","Je {{c::voudrais}} le voir."
"I have to find it.","Je dois le {{c::trouver}}."
"I've got to find it.","Je dois le {{c::trouver}}."
"Don't paint the {{c::devil}} on the wall.","Parle pas de malheur !"
"Don't paint the devil on the wall.","Parle pas de {{c::malheur}} !"
"I don't work {{c::anymore}}.","Je ne travaille plus."
"Not enough {{c::salt}}.","Pas assez de sel."
"Not enough salt.","Pas assez de {{c::sel}}."
"That {{c::was}} tom.","C'était tom."
"That was tom.","{{c::c'était}} tom."
"{{c::he's}} not there.","Il n'y est pas."
"He's not there.","Il {{c::n'y}} est pas."
"I'll clean it up.","Je vais le {{c::nettoyer}}."
"I still {{c::respect}} him.","Je le respecte encore."
"I still respect him.","Je le {{c::respecte}} encore."
"I'm going to prove it.","Je vais le {{c::prouver}}."
"I have to {{c::meet}} him.","Je dois le rencontrer."
"I have to meet him.","Je dois le {{c::rencontrer}}."
"I'm {{c::gonna}} shoot him.","Je vais le descendre."
"I'm gonna shoot him.","Je vais le {{c::descendre}}."
"I will shoot him.","Je vais le {{c::descendre}}."
"I just found it.","Je viens de le {{c::trouver}}."
