"English","French"
"Don't do {{1::wicked}} things.","Ne fais pas de choses méchantes."
"You didn't understand me.","Tu ne {{1::m'as}} pas compris."
"I {{1::managed}} to finish the work.","Je parvins à achever le travail."
"I am jealous of your success.","Je suis jaloux de ta {{1::réussite}}."
"Tom is a convicted felon.","Tom est un {{1::repris}} de justice."
"It's a {{1::snowman}}.","C'est un bonhomme de neige."
"It's a snowman.","C'est un {{1::bonhomme}} de neige."
"You don't {{1::seem}} to understand.","Tu ne sembles pas comprendre."
"You don't seem to understand.","Tu ne {{1::sembles}} pas comprendre."
"I'm as shocked as you are.","Je suis aussi {{1::choquée}} que vous."
"Thank god.","{{1::grâce}} à dieu."
"I know what you are thinking.","Je sais ce que tu {{1::penses}}."
"What did you buy for me?","Que {{1::m'as-tu}} acheté ?"
"Are you {{1::bringing}} anything to drink?","Apportez-vous à boire ?"
"Can you play the {{1::organ}}?","Pouvez-vous jouer de l'orgue ?"
"Are you able to play {{1::organ}}?","Pouvez-vous jouer de l'orgue ?"
"Does tom know that i'm here?","Tom {{1::sait-il}} que je suis ici ?"
"There you are!","Vous y {{1::êtes}} !"
"There you are.","Vous y {{1::êtes}} !"
"Tom is a {{1::sushi}} lover.","Tom est un amateur de sushi."
"I'll go anyway.","J'irai, de toutes {{1::façons}}."
"You will not be ready.","Tu ne {{1::seras}} pas prête."
"He is a tennis {{1::champion}}.","C'est un champion de tennis."
"He could do nothing but watch.","Il ne {{1::put}} que regarder."
"Don't eat the {{1::oysters}}.","Ne mange pas les huîtres."
"I guess the dog {{1::bites}}.","Je crois que le chien mord."
"I guess the dog bites.","Je crois que le chien {{1::mord}}."
"Do you see the {{1::girl's}} mum?","Vois-tu la mère de la fille ?"
"He's a hopeless case.","Il est sans {{1::espoir}}."
"I saw you yesterday.","Je vous ai vu {{1::hier}}."
"Nice timing.","{{1::pile}} à l'heure !"
"Keep away from that {{1::pond}}, please.","Éloignez-vous de cet étang."
"No one {{1::misses}} you.","Vous ne manquez à personne."
"He's a movie buff.","C'est un {{1::mordu}} de cinéma."
"I don't think i'd like it.","Je ne pense pas que {{1::j'aimerais}} ça."
"I don't see it that way.","Je ne le vois pas de cette {{1::façon}}."
"I'm sick of your {{1::excuses}}!","Je suis fatigué de tes excuses!"
"It's a boys' club.","C'est un {{1::cercle}} de garçons."
"Living costs are getting {{1::higher}}.","Le coût de la vie augmente."
"Living costs are getting higher.","Le {{1::coût}} de la vie augmente."
"You have a lot of time.","Vous {{1::avez}} beaucoup de temps."
"Can we change {{1::rooms}}?","Pouvons-nous changer de chambre ?"
"Can we change rooms?","{{1::pouvons-nous}} changer de chambre ?"
"It's five o'clock.","Il est {{1::cinq}} heures."
"I will go {{1::if}} you go.","Je partirai si vous partez."
"{{1::boil}} some water.","Faites bouillir de l'eau."
"Boil some water.","Faites {{1::bouillir}} de l'eau."
"I thought tom was from boston.","Je {{1::croyais}} que tom était de boston."
"We don't have to go.","Nous ne {{1::devons}} pas partir."
"You're not thinking {{1::clearly}}.","Tu ne penses pas clairement."
"You're not thinking clearly.","Tu ne penses pas {{1::clairement}}."
"Are you {{1::bringing}} anything to drink?","Vous apportez à boire ?"
"I got out of {{1::jail}} yesterday.","Je suis sorti de prison hier."
"He's a strange {{1::character}}.","C'est un drôle de personnage."
"You can't be serious!","Tu ne parles pas {{1::sérieusement}} !"
"Don't look down on {{1::others}}.","Ne méprise pas les autres."
"I wanted to do something nice for you.","Je voulais vous être {{1::agréable}}."
"Don't point at {{1::others}}.","Ne pointe pas les autres."
"Don't point at others.","Ne {{1::pointe}} pas les autres."
"I was a nervous {{1::wreck}}.","J'étais à bout de nerfs."
"I was a nervous wreck.","J'étais à bout de {{1::nerfs}}."
"Could i change {{1::rooms}}?","Pourrais-je changer de chambre ?"
"Be careful not to {{1::slip}}!","Fais attention de ne pas glisser !"
"Be careful not to {{1::slip}}.","Fais attention de ne pas glisser !"
"You're the {{1::greatest}}.","Tu es le meilleur."
"He is {{1::gross}}, man!","Qu'il est grossier !"
"I fell for it.","Je me suis fait {{1::avoir}}."
"Start singing.","{{1::commencez}} à chanter."
"What are we having for {{1::supper}}?","Qu'avons-nous à dîner?"
"Tom kept talking.","Tom {{1::continuait}} à parler."
"Try to {{1::remain}} calm.","Essaie de rester calme."
"What do you think of our {{1::website}}?","Que penses-tu de notre site?"
"What do you think of our website?","Que penses-tu de notre {{1::site}}?"
"It won't be hard.","Ce ne {{1::sera}} pas difficile."
"This won't be hard.","Ce ne {{1::sera}} pas difficile."
"He's a talented writer.","C'est un {{1::écrivain}} de talent."
"Can i drink alcohol?","Puis-je {{1::consommer}} de l'alcool ?"
"May i drink alcohol?","Puis-je {{1::consommer}} de l'alcool ?"
