"English","French"
"I'm {{1::familiar}} with the situation.","Je suis habituée à la situation."
"I'm familiar with the situation.","Je suis {{1::habituée}} à la situation."
"All is {{1::illusion}}.","Tout est illusion."
"I'll add it to my {{1::collection}}.","Je l'ajouterai à ma collection."
"Everything {{1::sucks}}.","Tout est naze."
"I know a {{1::million}} jokes.","Je connais un million de blagues."
"I know a million jokes.","Je connais un {{1::million}} de blagues."
"That's the other side of the {{1::coin}}.","C'est le revers de la médaille."
"Everything is {{1::connected}}.","Tout est connecté."
"Everything is {{1::connected}} to everything else.","Tout est connecté."
"I almost kissed her.","Je l'ai presque {{1::embrassée}}."
"I understand your feelings.","Je comprends tes {{1::sentiments}}."
"No, i don't like {{1::lobster}}.","Non, je n'aime pas le homard."
"It's all {{1::fake}}.","Tout est factice."
"You're not thinking {{1::clearly}}.","Vous ne pensez pas clairement."
"You're not thinking clearly.","Vous ne pensez pas {{1::clairement}}."
"The {{1::patient's}} in the hospital.","Le patient est à l'hôpital."
"You won't be disappointed.","Vous ne serez pas {{1::déçus}}."
"You won't be interested.","Vous ne serez pas {{1::intéressés}}."
"What {{1::colour}} is this?","De quelle couleur est-ce ?"
"You will not be jealous.","Vous ne serez pas {{1::jalouses}}."
"I had a {{1::narrow}} escape.","Je l'ai échappé belle."
"I had a narrow escape.","Je l'ai {{1::échappé}} belle."
"How short life is!","Que la vie est {{1::courte}} !"
"I would like a piece of cheese.","Je voudrais un {{1::morceau}} de fromage."
"I'd like a piece of cheese.","Je voudrais un {{1::morceau}} de fromage."
"I usually don't wear a watch.","Je ne porte {{1::généralement}} pas de montre."
"Let me {{1::carry}} it for you.","Laissez-moi vous le porter."
"Let me carry it for you.","Laissez-moi vous le {{1::porter}}."
"Of {{1::course}} i understand.","Bien sûr que je comprends."
"You deserve the {{1::prize}}.","Vous méritez le prix."
"Don't you feel guilty?","Ne vous {{1::sentez-vous}} pas coupable ?"
"This is {{1::democracy}}, i think.","C’est la démocratie, je crois."
"This is democracy, i think.","C’est la {{1::démocratie}}, je crois."
"I frighten easily.","Je prends {{1::facilement}} peur."
"I thought i would find you there.","Je pensais {{1::t'y}} trouver."
"I understand your {{1::reasons}}.","Je comprends tes raisons."
"I understand your reasons.","Je comprends tes {{1::raisons}}."
"You had a choice.","Vous {{1::aviez}} le choix."
"Tom didn't see you.","Tom ne {{1::t'a}} pas vu."
"I know your {{1::numbers}}.","Je connais vos numéros."
"He asked me to do it.","Il me {{1::demanda}} de le faire."
"Tom didn't know {{1::mary}}.","Tom ne connaissait pas mary."
"Tom didn't know mary.","Tom ne {{1::connaissait}} pas mary."
"I can {{1::defend}} myself, tom.","Je sais me défendre, tom."
"I can defend myself, tom.","Je sais me {{1::défendre}}, tom."
"Let me introduce you to him.","Laissez-moi vous le {{1::présenter}}."
"He never {{1::sleeps}}.","Il ne dort jamais."
"I was making a {{1::snowman}}.","Je faisais un bonhomme de neige."
"I was making a snowman.","Je faisais un {{1::bonhomme}} de neige."
"What did he say to you?","Que vous {{1::a-t-il}} dit ?"
"I don't have the {{1::option}}.","Je n'en ai pas la possibilité."
"I don't have the option.","Je n'en ai pas la {{1::possibilité}}."
"I want to have a word with you.","Je veux {{1::m'entretenir}} avec vous."
"I want to talk with you.","Je veux {{1::m'entretenir}} avec vous."
"How long do we have?","Combien de temps {{1::avons-nous}} ?"
"You won't make mistakes.","Vous ne {{1::ferez}} pas d'erreurs."
"I usually don't wear a {{1::tie}}.","Je ne porte habituellement pas de cravate."
"I usually don't wear a tie.","Je ne porte {{1::habituellement}} pas de cravate."
"Tom is in the living room.","Tom est dans le {{1::salon}}."
"I understand your feelings.","Je comprends vos {{1::sentiments}}."
"I {{1::simply}} don't love you.","Je ne t'aime tout simplement pas."
"Tom is in {{1::deep}} trouble.","Tom est dans le pétrin."
"We will do it.","Nous {{1::allons}} le faire."
"We'll do that.","Nous {{1::allons}} le faire."
"Tom didn't leave mary.","Tom ne {{1::quitta}} pas mary."
"Do you have a lot of {{1::pens}}?","Avez-vous beaucoup de stylos ?"
"Do you have a lot of pens?","Avez-vous beaucoup de {{1::stylos}} ?"
"I had no {{1::clue}}.","Je n'avais aucune idée."
"I felt the floor shake.","Je sentis le sol {{1::trembler}}."
"Do you get many {{1::visitors}}?","Avez-vous beaucoup de visiteurs ?"
"Do you get many visitors?","Avez-vous beaucoup de {{1::visiteurs}} ?"
"I don't like working on {{1::weekends}}.","Je n'aime pas travailler le week-end."
"I don't like working on weekends.","Je n'aime pas travailler le {{1::week-end}}."
"I said don't do that.","J'ai {{1::dit}} de ne pas le faire."
"You stick out like a sore {{1::thumb}}.","Vous ne passez pas inaperçu !"
"You stick out like a sore {{1::thumb}}.","Vous ne passez pas inaperçue !"
"I {{1::finally}} met him.","Je l'ai enfin rencontré."
"I finally met him.","Je l'ai {{1::enfin}} rencontré."
"I've {{1::received}} it too.","Je l'ai également reçu."
"I've {{1::received}} it, too.","Je l'ai également reçu."
"I usually don't wear pajamas.","D'habitude, je ne porte pas de {{1::pyjama}}."
"That's the end of this {{1::discussion}}.","C'est la fin de la discussion."
"That's the end of this discussion.","C'est la fin de la {{1::discussion}}."
"I like a lot of things.","J'aime beaucoup de {{1::choses}}."
"You need us.","Tu {{1::as}} besoin de nous."
"I don't doubt your {{1::intentions}}.","Je ne doute pas de tes intentions."
"I don't doubt your intentions.","Je ne doute pas de tes {{1::intentions}}."
"I can't use that.","Je ne peux pas {{1::utiliser}} cela."
"I can't use this.","Je ne peux pas {{1::utiliser}} cela."
"The castle is for sale.","Le {{1::château}} est à vendre."
"I made a paper {{1::plane}}.","Je fis un avion de papier."
"You have no {{1::alternative}}.","Vous ne disposez pas d'alternative."
"Don't you like coffee?","Tu {{1::n'aimes}} pas le café ?"
"I've been {{1::misunderstood}}.","Je fus mal compris."
"I was watching a soccer {{1::match}}.","Je regardais un match de football."
"I thought you weren't coming.","Je pensais que vous ne {{1::veniez}} pas."
"I didn't think you were coming.","Je ne pensais pas que vous {{1::veniez}}."
"I {{1::rented}} out the guest bedroom.","Je louai la chambre d'invités."
"I don't take vacations very often.","Je ne prends pas souvent de {{1::congés}}."
